timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable,AgentsAlive_std,AvgEnergy_std,GiniEnergy_std,TotalScar_std,MinedRenewable_std,MinedNonrenewable_std
0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,19.513333333333332,0.003180233624854756,0.0,0.8,1.0,0.0,0.1066666666666663,0.004012596914058743,0.0,1.6000000000000003,2.0
2,15.0,19.03333333333333,0.005686027349315293,0.221,1.0,1.0,0.0,0.21550973166992837,0.007398634266447246,0.663,2.04939015319192,3.0
3,15.0,18.553333333333335,0.010386354335629778,0.29,1.2,1.5,0.0,0.24367555843329422,0.010049469461499712,0.8700000000000001,1.8330302779823358,2.29128784747792
4,15.0,18.21333333333333,0.01407408545360136,0.58,1.0,3.0,0.0,0.2978441053825153,0.009261012286615572,0.8890331827327932,1.3416407864998738,3.3166247903554
5,15.0,17.82,0.019840978373905704,1.079,0.4,3.0,0.0,0.35627704575699687,0.008943502070164774,1.152253878275096,1.2000000000000002,4.0
6,15.0,17.493333333333332,0.027513269734474988,1.7890000000000001,1.2,4.5,0.0,0.41117717186958075,0.01314286422269001,1.4492097846757728,1.8330302779823358,5.678908345800274
7,15.0,17.119999999999997,0.028792627530633476,2.181,1.4,2.5,0.0,0.4022713291078825,0.01440399867467798,1.3897226341971982,1.5620499351813308,2.5
8,15.0,16.717766666666662,0.0350948139976224,2.2649999999999997,0.9664999999999999,3.0,0.0,0.4245714191982308,0.01299461686048064,1.3969770935845724,1.5947100833693881,3.3166247903554
9,15.0,16.38443333333333,0.04081866285032183,2.493,0.6,3.5,0.0,0.3613259547217104,0.01120918822773181,1.32981991261975,1.2806248474865696,3.2015621187164243
10,15.0,15.991099999999998,0.04740085430036058,2.9419999999999993,0.4,3.0,0.0,0.36572849826674025,0.011364192604687724,1.3816207873363804,1.2000000000000002,2.449489742783178
11,15.0,15.631099999999998,0.0516147987142815,3.1499999999999995,0.5,3.0,0.0,0.3868913154879554,0.01203686106513278,1.505483311099794,1.02469507659596,3.3166247903554
12,15.0,15.13776666666666,0.05608194599225362,3.1289999999999996,1.6,1.5,0.0,0.36378137665361676,0.011826060641907133,1.3447561117169164,1.9595917942265426,2.29128784747792
13,15.0,14.800366666666662,0.060971533329158834,3.5519999999999996,0.9390000000000001,4.0,0.0,0.46663008070871664,0.011634227126813421,1.728668852036155,1.8146360516643552,3.7416573867739413
14,15.0,14.467033333333324,0.06448322295578371,3.7379999999999987,0.2,4.0,0.0,0.4222417277658225,0.012753982030251385,1.5751685624084804,0.6000000000000001,4.358898943540674
15,15.0,13.987033333333326,0.06847630299153282,3.765999999999999,1.2,1.5,0.0,0.4326739457528429,0.01493906627749233,1.4973256158898767,3.6000000000000005,2.29128784747792
16,15.0,13.653699999999992,0.07254242366710877,3.8789999999999987,1.4,3.5,0.0,0.40793799773985323,0.015095238518335472,1.430149992133692,2.2,4.5
17,15.0,13.207033333333323,0.07884698401426918,3.6919999999999993,0.6,1.5,0.0,0.4115726869784572,0.014926858027235791,1.2849887159037616,1.2806248474865696,2.29128784747792
18,15.0,12.800366666666656,0.08532848915122407,4.0139999999999985,0.8,3.0,0.0,0.40807851777160153,0.017338816270325377,1.1885554257164443,1.6000000000000003,2.449489742783178
19,15.0,12.500366666666654,0.09113841955444515,4.3199999999999985,0.6,4.5,0.0,0.39354128542420297,0.018231075719234432,1.4452612220633332,0.9165151389911681,5.220153254455275
20,15.0,12.20703333333332,0.09966087755892236,4.495999999999999,0.4,5.5,0.0,0.4719873691812819,0.019616805796807225,1.7457445403036491,1.2000000000000002,5.678908345800274
21,15.0,11.833699999999983,0.1086878578557843,4.777999999999998,0.2,3.0,0.0,0.4706818564593297,0.020160959057467943,1.6148671772006509,0.6000000000000001,4.58257569495584
22,15.0,11.48036666666665,0.11701492391199467,5.128999999999999,0.4,4.0,0.0,0.4408558204724589,0.018909009969364943,1.7518872680626454,1.2000000000000002,3.7416573867739413
23,15.0,11.100366666666647,0.12433161113190558,5.315999999999997,0.5,2.5,0.0,0.4941066787648198,0.018737588317292532,1.6911605482626417,1.02469507659596,3.3541019662496847
24,15.0,10.760366666666645,0.13565172326735686,5.423999999999998,0.0,4.0,0.0,0.5583524066393919,0.01890970079857522,1.8807987664819432,0.0,4.358898943540674
25,15.0,10.380366666666646,0.14471683449974398,5.330999999999998,0.0,3.0,0.0,0.549123006863369,0.019770403085411403,2.0159883432202674,0.0,3.3166247903554
26,15.0,10.060366666666642,0.15776451693633872,5.7189999999999985,0.0,4.5,0.0,0.6658959453247932,0.022017276380028344,2.6165528849996513,0.0,4.716990566028302
27,15.0,9.58703333333331,0.16377052377443874,5.524999999999998,0.4,1.0,0.0,0.7261267634970265,0.02201096013364166,2.606377754662589,1.2000000000000002,2.0
28,15.0,9.253699999999977,0.18050727598945435,5.677999999999997,0.2,4.0,0.0,0.8025709169080735,0.021371941877157723,2.6420325508971305,0.6000000000000001,3.7416573867739413
29,15.0,8.913699999999974,0.19138903318984501,5.891999999999998,0.0,4.0,0.0,0.8244772545882227,0.026289710226708504,2.7420350107174047,0.0,4.898979485566356
30,15.0,8.493699999999974,0.20468852119988545,5.720999999999996,0.0,2.0,0.0,0.8364592498542089,0.02734193599304043,2.5539281509079297,0.0,3.3166247903554
31,15.0,8.073699999999972,0.22079213450407487,5.5479999999999965,0.0,2.0,0.0,0.8636697343313585,0.029983787898151495,2.3866034442278,0.0,2.449489742783178
32,15.0,7.693699999999973,0.238644394207879,5.372999999999997,0.0,3.0,0.0,0.8615552274810935,0.03135755196155287,2.242565718100586,0.0,2.449489742783178
33,15.0,7.253699999999972,0.25603206377563736,5.347999999999996,0.0,1.5,0.0,0.8624809621087289,0.029831527431977648,2.169575073603123,0.0,2.29128784747792
34,15.0,6.793699999999971,0.27720149739390604,4.953999999999997,0.0,1.0,0.0,0.8402246187776212,0.0320625324133254,2.1714244172892587,0.0,2.0
35,15.0,6.433699999999971,0.30880292466216697,5.218999999999996,0.0,3.5,0.0,0.8588488865918139,0.03751311796540964,2.0730627100982733,0.0,2.29128784747792
36,15.0,6.127033333333304,0.3328837018483009,5.100999999999996,0.0,1.5,0.0,0.867235498581555,0.04649202043955766,1.9865923084518364,0.0,2.29128784747792
37,15.0,5.680366666666637,0.36531777105994345,5.424999999999996,0.8,2.0,0.0,0.7895487241315611,0.053237769232791714,1.5951191178090736,1.6000000000000003,3.3166247903554
38,15.0,5.209166666666636,0.40312129275107206,5.215999999999996,0.23200000000000004,0.5,0.0,0.7783466843965546,0.057862366460065554,1.55050443404719,0.6959999999999998,1.5
39,15.0,4.749166666666637,0.4498970529305888,5.081999999999996,0.0,1.0,0.0,0.7711010922339842,0.06882760320756713,1.3216035714237448,0.0,2.0
40,15.0,10.042499999999976,0.36822239990508965,5.169999999999996,0.0,1.5,0.0,1.9625695189385473,0.048727224019360235,1.2387170782709014,0.0,2.29128784747792
41,15.0,9.589166666666646,0.3854218123265835,4.702999999999997,0.4,1.5,0.0,1.8919070933848767,0.053770218939679856,1.4132660754436857,1.2000000000000002,2.29128784747792
42,15.0,9.306866666666645,0.4053578786655837,4.575999999999996,0.1655,2.0,0.0,1.9430634472399542,0.05805242871358522,1.3137442673519069,0.49649999999999994,3.3166247903554
43,15.0,8.87353333333331,0.4348470655488157,4.533999999999996,0.4,2.0,0.0,1.9134697988500164,0.06632862459088856,1.4153882859484173,1.2000000000000002,2.449489742783178
44,15.0,9.21563333333331,0.4308152356628211,4.284999999999997,1.0,1.5,0.0,1.926573466315553,0.062042737425199355,1.3765627482973664,1.61245154965971,3.2015621187164243
45,15.0,8.820166666666644,0.46048148740951766,4.341999999999996,0.5680000000000001,2.0,0.0,2.014509392989881,0.0689199293926171,1.4762303343313328,1.1382512903572743,4.0
46,15.0,13.282699999999982,0.285715053274824,4.130999999999997,0.138,4.0,0.0,1.8942289046821523,0.07251559325787617,1.2900034883673759,0.41400000000000003,3.7416573867739413
47,15.0,12.78936666666665,0.298573465746089,3.748999999999996,0.4,0.5,0.0,1.868766803417582,0.07580402965897548,1.0548597063116965,1.2000000000000002,1.5
48,15.0,12.836033333333315,0.29958094248805417,3.8859999999999966,0.2,3.5,0.0,1.6874713590985149,0.06857345595648309,1.2734928346873404,0.6000000000000001,3.2015621187164243
49,15.0,12.409366666666653,0.31605331514012225,4.022999999999996,0.8,2.5,0.0,1.6648133792644115,0.07126019922825229,1.339694368130283,1.6000000000000003,3.3541019662496847
50,15.0,12.243233333333318,0.32053376042407616,3.7839999999999963,1.008,1.5,0.0,1.5511468090846023,0.07428142132161927,1.2867027628788237,2.463270387107351,2.29128784747792
