step,ren_step,non_step,cum_ren,cum_non,cum_total
1,4.0,0.0,4.0,0.0,4.0
2,0.0,0.0,4.0,0.0,4.0
3,3.0,0.0,7.0,0.0,7.0
4,0.0,5.0,7.0,5.0,12.0
5,4.0,0.0,11.0,5.0,16.0
6,2.0,0.0,13.0,5.0,18.0
7,0.0,5.0,13.0,10.0,23.0
8,0.0,0.0,13.0,10.0,23.0
9,0.0,0.0,13.0,10.0,23.0
10,0.0,5.0,13.0,15.0,28.0
11,0.0,5.0,13.0,20.0,33.0
12,4.0,5.0,17.0,25.0,42.0
13,0.0,5.0,17.0,30.0,47.0
14,4.0,5.0,21.0,35.0,56.0
15,0.0,10.0,21.0,45.0,66.0
16,0.0,10.0,21.0,55.0,76.0
17,0.0,0.0,21.0,55.0,76.0
18,0.0,5.0,21.0,60.0,81.0
19,0.0,5.0,21.0,65.0,86.0
20,0.0,0.0,21.0,65.0,86.0
21,0.0,0.0,21.0,65.0,86.0
22,0.0,0.0,21.0,65.0,86.0
23,0.0,0.0,21.0,65.0,86.0
24,0.0,5.0,21.0,70.0,91.0
25,0.0,5.0,21.0,75.0,96.0
26,0.0,5.0,21.0,80.0,101.0
27,0.0,0.0,21.0,80.0,101.0
28,0.0,5.0,21.0,85.0,106.0
29,4.0,0.0,25.0,85.0,110.0
30,0.0,5.0,25.0,90.0,115.0
31,0.0,5.0,25.0,95.0,120.0
32,0.0,5.0,25.0,100.0,125.0
33,0.0,5.0,25.0,105.0,130.0
34,0.0,10.0,25.0,115.0,140.0
35,0.0,5.0,25.0,120.0,145.0
36,0.0,5.0,25.0,125.0,150.0
37,0.0,0.0,25.0,125.0,150.0
38,0.0,0.0,25.0,125.0,150.0
39,0.0,0.0,25.0,125.0,150.0
40,4.0,5.0,29.0,130.0,159.0
41,1.705,0.0,30.705,130.0,160.70499999999998
42,0.0,5.0,30.705,135.0,165.70499999999998
43,0.0,0.0,30.705,135.0,165.70499999999998
44,0.0,0.0,30.705,135.0,165.70499999999998
45,0.0,0.0,30.705,135.0,165.70499999999998
46,0.0,0.0,30.705,135.0,165.70499999999998
47,0.0,5.0,30.705,140.0,170.70499999999998
48,0.0,0.0,30.705,140.0,170.70499999999998
49,1.5400000000000003,0.0,32.245,140.0,172.245
50,0.0,5.0,32.245,145.0,177.245
51,0.0,0.0,32.245,145.0,177.245
52,0.0,0.0,32.245,145.0,177.245
53,0.0,0.0,32.245,145.0,177.245
54,0.0,0.0,32.245,145.0,177.245
55,1.6800000000000004,0.0,33.925,145.0,178.925
56,0.0,0.0,33.925,145.0,178.925
57,0.0,0.0,33.925,145.0,178.925
58,0.0,0.0,33.925,145.0,178.925
