step,ren_step,non_step,cum_ren,cum_non,cum_total
1,4.0,0.0,4.0,0.0,4.0
2,0.0,0.0,4.0,0.0,4.0
3,4.0,0.0,8.0,0.0,8.0
4,4.0,0.0,12.0,0.0,12.0
5,2.0,0.0,14.0,0.0,14.0
6,0.0,5.0,14.0,5.0,19.0
7,0.0,5.0,14.0,10.0,24.0
8,4.0,10.0,18.0,20.0,38.0
9,2.0,5.0,20.0,25.0,45.0
10,0.0,0.0,20.0,25.0,45.0
11,0.0,5.0,20.0,30.0,50.0
12,8.0,0.0,28.0,30.0,58.0
13,0.0,0.0,28.0,30.0,58.0
14,2.0,0.0,30.0,30.0,60.0
15,0.0,0.0,30.0,30.0,60.0
16,0.0,10.0,30.0,40.0,70.0
17,4.0,0.0,34.0,40.0,74.0
18,1.645,0.0,35.645,40.0,75.64500000000001
19,0.0,5.0,35.645,45.0,80.64500000000001
20,0.0,0.0,35.645,45.0,80.64500000000001
21,0.0,5.0,35.645,50.0,85.64500000000001
22,0.0,0.0,35.645,50.0,85.64500000000001
23,0.0,5.0,35.645,55.0,90.64500000000001
24,0.0,0.0,35.645,55.0,90.64500000000001
25,0.0,0.0,35.645,55.0,90.64500000000001
26,0.0,0.0,35.645,55.0,90.64500000000001
27,0.0,0.0,35.645,55.0,90.64500000000001
28,0.0,0.0,35.645,55.0,90.64500000000001
29,0.0,0.0,35.645,55.0,90.64500000000001
30,0.0,0.0,35.645,55.0,90.64500000000001
31,0.0,0.0,35.645,55.0,90.64500000000001
32,0.0,0.0,35.645,55.0,90.64500000000001
33,0.0,0.0,35.645,55.0,90.64500000000001
34,0.0,0.0,35.645,55.0,90.64500000000001
35,0.0,0.0,35.645,55.0,90.64500000000001
36,0.0,0.0,35.645,55.0,90.64500000000001
37,0.0,0.0,35.645,55.0,90.64500000000001
38,0.0,0.0,35.645,55.0,90.64500000000001
39,0.0,0.0,35.645,55.0,90.64500000000001
40,0.0,0.0,35.645,55.0,90.64500000000001
