Step,Ideology_adaptive_mean,Ideology_adaptive_direct_mean,AvgEnergy_mean,CommunityPool_mean,TotalScar_mean,Renewables_mean,NonRenewables_mean,InfrastructureSites_mean,AgentsAlive_mean,GiniEnergy_mean,MinedRenewable_mean,MinedNonrenewable_mean,AvgAdaptiveEpsilon_mean,AvgAdaptiveReward_mean,Ideology_adaptive_std,Ideology_adaptive_direct_std,AvgEnergy_std,CommunityPool_std,TotalScar_std,Renewables_std,NonRenewables_std,InfrastructureSites_std,AgentsAlive_std,GiniEnergy_std,MinedRenewable_std,MinedNonrenewable_std,AvgAdaptiveEpsilon_std,AvgAdaptiveReward_std
0,0.0,15.0,20.0,0.0,0.0,100.0,100.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,15.0,18.9,0.0,0.0,100.0,100.0,0.0,15.0,0.030255323687106372,0.0,0.0,0.0,0.0,0.0,0.0,0.4567734398020997,0.0,0.0,0.0,0.0,0.0,0.0,0.018016155138708606,0.0,0.0,0.0,0.0
2,0.0,15.0,18.133333333333336,0.0,0.0,100.0,100.0,0.0,15.0,0.04529437723488809,0.0,0.0,0.0,0.0,0.0,0.0,0.34426518632954817,0.0,0.0,0.0,0.0,0.0,0.0,0.01153306018210244,0.0,0.0,0.0,0.0
3,0.0,15.0,17.333333333333336,0.0,0.0,100.0,100.0,0.0,15.0,0.05729708520210493,0.0,0.0,0.0,0.0,0.0,0.0,0.5258737584977434,0.0,0.0,0.0,0.0,0.0,0.0,0.013935586443232523,0.0,0.0,0.0,0.0
4,0.0,15.0,17.460000000000004,0.0,1.478,100.0,100.0,0.0,15.0,0.06760937506084627,8.1,9.0,0.0,0.0,0.0,0.0,0.5824172701278781,0.0,1.7470915513758543,0.0,0.0,0.0,0.0,0.01699890582871838,5.586690532964137,6.99205898780101,0.0,0.0
5,0.0,15.0,17.33333333333334,0.0,1.738,100.0,100.0,0.0,15.0,0.07261120290269862,4.4,5.5,0.0,0.0,0.0,0.0,0.6425258797689349,0.0,1.602448127085554,0.0,0.0,0.0,0.0,0.020966375424033058,3.977715704047013,5.50252467307306,0.0,0.0
6,0.0,15.0,17.21333333333334,0.0,2.284,100.0,100.0,0.0,15.0,0.06737694376827592,4.8,3.5,0.0,0.0,0.0,0.0,0.5985991878162885,0.0,1.7104008626959677,0.0,0.0,0.0,0.0,0.016563317905117156,5.266244708835067,4.743416490252569,0.0,0.0
7,0.0,15.0,16.886666666666674,0.0,2.299,100.0,100.0,0.0,15.0,0.06518205805975559,2.8,2.5,0.0,0.0,0.0,0.0,0.6748022115341357,0.0,1.7669902219436426,0.0,0.0,0.0,0.0,0.013291461162057141,1.9321835661585918,2.63523138347365,0.0,0.0
8,0.0,15.0,16.97333333333334,0.0,2.5999999999999996,100.0,100.0,0.0,15.0,0.06146893943634628,9.6,1.0,0.0,0.0,0.0,0.0,0.5649866162514018,0.0,1.8783444246936654,0.0,0.0,0.0,0.0,0.01180783051250987,8.044321668799123,2.1081851067789192,0.0,0.0
9,0.0,15.0,16.97333333333334,0.0,2.7039999999999997,100.0,100.0,0.0,15.0,0.06248526295407986,5.6,3.0,0.0,0.0,0.0,0.0,0.48909086736843643,0.0,1.9832083994264331,0.0,0.0,0.0,0.0,0.014118493007165446,4.2998707990925595,4.830458915396479,0.0,0.0
10,0.0,15.0,16.793333333333344,0.0,2.5629999999999997,100.0,100.0,0.0,15.0,0.060058108228849647,6.4,1.0,0.0,0.0,0.0,0.0,0.45698961276252353,0.0,1.6364735120238136,0.0,0.0,0.0,0.0,0.014545199776905535,5.719362823873924,2.1081851067789197,0.0,0.0
11,0.0,15.0,16.44000000000001,0.0,2.7039999999999997,100.0,100.0,0.0,15.0,0.068330512100127,3.2,3.0,0.0,0.0,0.0,0.0,0.603855922641024,0.0,1.737636965025267,0.0,0.0,0.0,0.0,0.01275855906144176,1.6865480854231356,3.496029493900505,0.0,0.0
12,0.0,15.0,16.446233333333346,0.0,2.9239999999999995,100.0,100.0,0.0,15.0,0.08039361790456905,7.593500000000001,4.0,0.0,0.0,0.0,0.0,0.5793460777271018,0.0,2.014327569079953,0.0,0.0,0.0,0.0,0.021654451087792122,6.095096412508811,6.146362971528591,0.0,0.0
13,0.0,15.0,16.32330000000001,0.0,2.906999999999999,100.0,100.0,0.0,15.0,0.0845422097083526,6.356,1.5,0.0,0.0,0.0,0.0,0.5609010927092836,0.0,2.0196592121774737,0.0,0.0,0.0,0.0,0.01963363625821832,5.3825875644423,2.41522945769824,0.0,0.0
14,0.0,15.0,16.384833333333347,0.0,3.405,100.0,100.0,0.0,15.0,0.08585257577015266,7.823,3.5,0.0,0.0,0.0,0.0,0.5287351375490494,0.0,1.9703256921974428,0.0,0.0,0.0,0.0,0.019356821195365897,5.773629322666597,2.41522945769824,0.0,0.0
15,0.0,15.0,16.118166666666678,0.0,3.3249999999999993,100.0,100.0,0.0,15.0,0.08644321677731599,3.6,3.0,0.0,0.0,0.0,0.0,0.7882722825001687,0.0,2.141516855979528,0.0,0.0,0.0,0.0,0.024475867421673167,2.2705848487901865,4.216370213557839,0.0,0.0
16,0.0,15.0,15.844833333333346,0.0,3.228999999999999,100.0,100.0,0.0,15.0,0.09367971448281079,6.0,1.5,0.0,0.0,0.0,0.0,1.0193669573942252,0.0,1.9569048690896205,0.0,0.0,0.0,0.0,0.024748335661359828,5.077182070575939,2.41522945769824,0.0,0.0
17,0.0,15.0,15.664833333333348,0.0,3.339999999999999,100.0,100.0,0.0,15.0,0.0993847200443094,5.2,1.5,0.0,0.0,0.0,0.0,1.3141040627189013,0.0,1.9087750580469711,0.0,0.0,0.0,0.0,0.03410631501483273,5.3499740393970345,3.374742788552764,0.0,0.0
18,0.0,15.0,15.63226666666668,0.0,3.2639999999999993,100.0,100.0,0.0,15.0,0.0994857901979593,7.411500000000001,2.5,0.0,0.0,0.0,0.0,1.1812744718217598,0.0,1.9295376533137552,0.0,0.0,0.0,0.0,0.027543268611435592,6.525504684611673,5.400617248673217,0.0,0.0
19,0.0,15.0,15.496833333333347,0.0,3.443999999999999,100.0,100.0,0.0,15.0,0.10012874060410726,5.7685,2.0,0.0,0.0,0.0,0.0,1.2698397317947048,0.0,1.73013936497099,0.0,0.0,0.0,0.0,0.028498073845403097,4.435254001244524,2.581988897471611,0.0,0.0
20,0.0,15.0,15.470933333333349,0.0,4.235999999999999,100.0,100.0,0.0,15.0,0.10808351563557281,5.5115,5.0,0.0,0.0,0.0,0.0,1.2858082033501232,0.0,2.5637307884322706,0.0,0.0,0.0,0.0,0.027394089560271298,4.736816822625835,5.270462766947299,0.0,0.0
21,0.0,15.0,15.270133333333352,0.0,4.157999999999999,100.0,100.0,0.0,15.0,0.11291505683918432,5.488,1.5,0.0,0.0,0.0,0.0,1.3273041479761036,0.0,2.2172896367712833,0.0,0.0,0.0,0.0,0.026419963400103358,4.352524299504573,2.4152294576982394,0.0,0.0
22,0.0,15.0,15.081966666666682,0.0,4.126999999999999,100.0,100.0,0.0,15.0,0.12210089602479446,7.6775,2.5,0.0,0.0,0.0,0.0,1.1152734863622995,0.0,1.8354173004160836,0.0,0.0,0.0,0.0,0.020981989191520924,4.973259187338264,2.63523138347365,0.0,0.0
23,0.0,15.0,14.756266666666685,0.0,4.124999999999998,100.0,100.0,0.0,15.0,0.1342232054548242,5.0145,1.5,0.0,0.0,0.0,0.0,1.2740517151354223,0.0,1.8157780701396296,0.0,0.0,0.0,0.0,0.01855706305270178,4.364871418495625,3.3747427885527643,0.0,0.0
24,0.0,15.0,14.596566666666684,0.0,4.268999999999998,100.0,100.0,0.0,15.0,0.13758698951196063,6.2045,1.0,0.0,0.0,0.0,0.0,1.348545902302657,0.0,1.857168992490092,0.0,0.0,0.0,0.0,0.025973808049489053,5.777637180447461,2.1081851067789197,0.0,0.0
25,0.0,15.0,14.716566666666685,0.0,4.338999999999999,100.0,100.0,0.0,15.0,0.13640535962234906,7.6,3.5,0.0,0.0,0.0,0.0,1.4696116061189468,0.0,1.8862098975929946,0.0,0.0,0.0,0.0,0.02811934749283299,4.788875998951459,4.1163630117428225,0.0,0.0
26,0.0,15.0,14.724300000000019,0.0,4.393999999999998,100.0,100.0,0.0,15.0,0.13730754830835917,9.016,1.5,0.0,0.0,0.0,0.0,1.2697531640168767,0.0,2.0280927000509608,0.0,0.0,0.0,0.0,0.02513408062011789,4.706768648564651,3.3747427885527643,0.0,0.0
27,0.0,15.0,14.557633333333351,0.0,4.663999999999998,100.0,100.0,0.0,15.0,0.14017594332558242,4.0,2.5,0.0,0.0,0.0,0.0,1.2113227180072617,0.0,2.31957467365607,0.0,0.0,0.0,0.0,0.02391850864043518,2.6666666666666665,3.5355339059327373,0.0,0.0
28,0.0,15.0,14.400566666666686,0.0,4.629999999999997,100.0,100.0,0.0,15.0,0.14575444801482115,5.044,1.5,0.0,0.0,0.0,0.0,1.3220802729593062,0.0,2.202286690389483,0.0,0.0,0.0,0.0,0.02591962930507179,5.026664898319759,2.4152294576982394,0.0,0.0
29,0.0,15.0,14.511966666666686,0.0,4.591999999999998,100.0,100.0,0.0,15.0,0.1494161344023322,8.971,2.5,0.0,0.0,0.0,0.0,1.5047997565813909,0.0,2.160251014221366,0.0,0.0,0.0,0.0,0.026372132844191758,3.964969384777419,2.6352313834736494,0.0,0.0
30,0.0,15.0,14.33110000000002,0.0,4.265999999999997,100.0,100.0,0.0,15.0,0.15689880691471342,8.787,0.5,0.0,0.0,0.0,0.0,1.5078486108801963,0.0,2.0112472636539627,0.0,0.0,0.0,0.0,0.031238561981739795,7.719497392965426,1.5811388300841898,0.0,0.0
31,0.0,15.0,14.13750000000002,0.0,4.154999999999998,100.0,100.0,0.0,15.0,0.16525997969448383,4.996,1.5,0.0,0.0,0.0,0.0,1.5218922614809367,0.0,1.9144784610378291,0.0,0.0,0.0,0.0,0.03531465960544992,3.618493240747222,2.4152294576982394,0.0,0.0
32,0.0,15.0,13.937866666666688,0.0,4.2609999999999975,100.0,100.0,0.0,15.0,0.1732233005350017,4.105500000000001,2.5,0.0,0.0,0.0,0.0,1.5879555082861434,0.0,1.8336148268743167,0.0,0.0,0.0,0.0,0.03738390616528689,5.6349437786803955,3.5355339059327373,0.0,0.0
33,0.0,15.0,14.105100000000022,0.0,4.406999999999997,100.0,100.0,0.0,15.0,0.17550918651903408,9.708499999999999,4.0,0.0,0.0,0.0,0.0,1.6585138747805261,0.0,1.9459533510453018,0.0,0.0,0.0,0.0,0.041057252311487664,6.3588691561035,5.163977794943222,0.0,0.0
34,0.0,15.0,14.109633333333354,0.0,3.864999999999997,100.0,100.0,0.0,15.0,0.17722690122518184,7.868,2.0,0.0,0.0,0.0,0.0,1.6534730186661037,0.0,1.608334196890959,0.0,0.0,0.0,0.0,0.04379311919075684,4.377317291066146,2.581988897471611,0.0,0.0
35,0.0,15.0,13.978433333333353,0.0,3.7459999999999973,100.0,100.0,0.0,15.0,0.17981081086706824,4.932,1.5,0.0,0.0,0.0,0.0,1.7050672268705884,0.0,1.3845994206107242,0.0,0.0,0.0,0.0,0.044220433212143716,3.2030568732592517,2.4152294576982394,0.0,0.0
36,0.0,15.0,13.860133333333355,0.0,3.581999999999997,100.0,100.0,0.0,15.0,0.18834916505364185,4.9255,1.0,0.0,0.0,0.0,0.0,1.8500542881590838,0.0,1.3337149453895887,0.0,0.0,0.0,0.0,0.04560824668157363,3.7736089784478497,2.1081851067789197,0.0,0.0
37,0.0,15.0,13.785733333333354,0.0,3.4279999999999973,100.0,100.0,0.0,15.0,0.19844469807184395,7.984,1.5,0.0,0.0,0.0,0.0,1.9861804202358893,0.0,1.40131525519579,0.0,0.0,0.0,0.0,0.04365720338852292,5.63188383718588,2.41522945769824,0.0,0.0
38,0.0,15.0,13.728400000000022,0.0,3.606999999999997,100.0,100.0,0.0,15.0,0.20263005887431468,7.540000000000001,2.5,0.0,0.0,0.0,0.0,1.9901571797222497,0.0,1.4236966749354374,0.0,0.0,0.0,0.0,0.04481048346754531,5.42918041696903,3.5355339059327378,0.0,0.0
39,0.0,15.0,13.521733333333355,0.0,3.4779999999999966,100.0,100.0,0.0,15.0,0.21876322831902612,3.5,3.0,0.0,0.0,0.0,0.0,2.0002470637522256,0.0,1.2248700611357373,0.0,0.0,0.0,0.0,0.05376861508723011,2.798809270624444,3.4960294939005054,0.0,0.0
40,0.0,15.0,13.375833333333356,0.0,3.532999999999997,100.0,100.0,0.0,15.0,0.21684787140683737,5.9115,4.0,0.0,0.0,0.0,0.0,2.200353283923765,0.0,1.0951717267675922,0.0,0.0,0.0,0.0,0.06264995878895618,5.100558820146845,4.594682917363407,0.0,0.0
41,0.0,15.0,13.307300000000023,0.0,3.421999999999997,100.0,100.0,0.0,15.0,0.2221304439082116,8.772,1.5,0.0,0.0,0.0,0.0,2.329016193774577,0.0,0.9507751223782266,0.0,0.0,0.0,0.0,0.06660388268144897,5.907796731626963,2.41522945769824,0.0,0.0
42,0.0,15.0,13.357700000000023,0.0,3.375999999999997,100.0,100.0,0.0,15.0,0.2215759918814495,7.456,2.0,0.0,0.0,0.0,0.0,2.2425614953650324,0.0,0.9093000971443173,0.0,0.0,0.0,0.0,0.0653158789574886,6.008925213565421,2.581988897471611,0.0,0.0
43,0.0,15.0,13.054766666666689,0.0,3.2099999999999973,100.0,100.0,0.0,15.0,0.2287331906386966,4.756,1.5,0.0,0.0,0.0,0.0,2.076173647260813,0.0,0.9585637404181543,0.0,0.0,0.0,0.0,0.07469374343546908,3.1083800711410223,2.41522945769824,0.0,0.0
44,0.0,15.0,12.961266666666692,0.0,3.2159999999999975,100.0,100.0,0.0,15.0,0.2316127486729116,7.1975,2.0,0.0,0.0,0.0,0.0,2.1551905292302993,0.0,0.8802297679835895,0.0,0.0,0.0,0.0,0.07388681487621451,4.130651851974725,2.581988897471611,0.0,0.0
45,0.0,15.0,13.018066666666693,0.0,3.0429999999999975,100.0,100.0,0.0,15.0,0.238019277438173,8.652000000000001,1.5,0.0,0.0,0.0,0.0,2.2046378936177558,0.0,0.8532558558577581,0.0,0.0,0.0,0.0,0.0827355115773606,6.362279116445266,2.41522945769824,0.0,0.0
46,0.0,14.9,13.072902380952405,0.0,2.948999999999997,100.0,100.0,0.0,14.9,0.23765399393528944,7.6,1.5,0.0,0.0,0.0,0.316227766016838,2.128054949841581,0.0,0.7039483882596317,0.0,0.0,0.0,0.316227766016838,0.07460381397533745,5.4812812776251905,2.41522945769824,0.0,0.0
47,0.0,14.8,12.9687404761905,0.0,2.6459999999999972,100.0,100.0,0.0,14.8,0.2359606882159988,5.905500000000001,0.5,0.0,0.0,0.0,0.4216370213557839,2.0303742462412493,0.0,0.9357492541630295,0.0,0.0,0.0,0.4216370213557839,0.08003444528429775,5.6474706481948385,1.5811388300841895,0.0,0.0
48,0.0,14.8,12.965597619047646,0.0,2.7079999999999975,100.0,100.0,0.0,14.8,0.2420869143178172,6.715999999999999,1.5,0.0,0.0,0.0,0.4216370213557839,2.1575746696425533,0.0,1.25291482374324,0.0,0.0,0.0,0.4216370213557839,0.08389561816531604,5.724596443806711,3.3747427885527643,0.0,0.0
49,0.0,14.8,12.938726190476217,0.0,2.6919999999999975,100.0,100.0,0.0,14.8,0.24992267162267642,6.375500000000001,1.5,0.0,0.0,0.0,0.4216370213557839,2.284322098488083,0.0,1.1330077963838843,0.0,0.0,0.0,0.4216370213557839,0.08414258462159781,7.352299885825598,2.41522945769824,0.0,0.0
50,0.0,14.6,13.082478571428599,0.0,2.8229999999999977,100.0,100.0,0.0,14.6,0.2539575448818073,10.379999999999999,1.0,0.0,0.0,0.0,0.6992058987801011,2.1969347893000077,0.0,1.3290602360732604,0.0,0.0,0.0,0.6992058987801011,0.0841856555218699,7.334818031523042,2.1081851067789192,0.0,0.0
51,0.0,14.0,13.378162912087939,0.0,2.7289999999999974,100.0,100.0,0.0,14.0,0.2380902904217502,4.2524999999999995,1.5,0.0,0.0,0.0,1.1547005383792515,1.9904111548476464,0.0,1.2341119164088081,0.0,0.0,0.0,1.1547005383792515,0.07702706868998731,4.229369042776948,3.3747427885527643,0.0,0.0
52,0.0,14.0,13.22785302197805,0.0,2.6419999999999977,100.0,100.0,0.0,14.0,0.24397159487524336,5.4719999999999995,1.0,0.0,0.0,0.0,1.1547005383792515,1.951794632503544,0.0,1.2297226426222203,0.0,0.0,0.0,1.1547005383792515,0.08422782361462801,4.674880390626766,2.1081851067789192,0.0,0.0
53,0.0,13.6,13.651425732600762,0.0,2.8519999999999976,100.0,100.0,0.0,13.6,0.225606137068244,7.1985,2.5,0.0,0.0,0.0,0.9660917830792958,2.2774778951470744,0.0,1.4283074676771181,0.0,0.0,0.0,0.9660917830792958,0.07413327015150283,7.692726741684136,2.63523138347365,0.0,0.0
54,0.0,13.6,13.854548809523838,0.0,2.9839999999999973,100.0,100.0,0.0,13.6,0.23033935632855718,9.779,3.0,0.0,0.0,0.0,0.9660917830792958,2.192584748278038,0.0,1.1843160238907704,0.0,0.0,0.0,0.9660917830792958,0.07048340264365834,6.426318195946693,4.216370213557839,0.0,0.0
55,0.0,13.6,13.599593498168526,0.0,3.1129999999999973,100.0,100.0,0.0,13.6,0.23451394213462332,3.096,0.5,0.0,0.0,0.0,0.9660917830792958,2.328509854491987,0.0,1.5294592363170572,0.0,0.0,0.0,0.9660917830792958,0.06969665043743735,3.4037469549502846,1.5811388300841895,0.0,0.0
56,0.0,13.5,13.429515950715981,0.0,2.9409999999999976,100.0,100.0,0.0,13.5,0.23188998413759948,3.772,0.5,0.0,0.0,0.0,1.1785113019775793,2.2270852576219577,0.0,1.4916616387252317,0.0,0.0,0.0,1.1785113019775793,0.07061711982616549,1.8838674758768643,1.5811388300841898,0.0,0.0
57,0.0,13.5,13.250338861138891,0.0,2.776999999999998,100.0,100.0,0.0,13.5,0.23323064722967332,4.647,0.0,0.0,0.0,0.0,1.1785113019775793,2.3374411045722634,0.0,1.4513675543354885,0.0,0.0,0.0,1.1785113019775793,0.07569361912081378,2.9960967199934574,0.0,0.0,0.0
58,0.0,13.0,13.920148593073623,0.0,2.6989999999999976,100.0,100.0,0.0,13.0,0.2155292098753671,7.794,2.0,0.0,0.0,0.0,1.4907119849998598,2.5165427285617685,0.0,1.3453743799486524,0.0,0.0,0.0,1.4907119849998598,0.032200721488382336,6.439558646021911,3.496029493900505,0.0,0.0
59,0.0,13.0,13.943380985681017,0.0,2.7269999999999976,100.0,100.0,0.0,13.0,0.2241999304520228,6.4875,4.0,0.0,0.0,0.0,1.4907119849998598,2.5322610700170105,0.0,1.6632034017388113,0.0,0.0,0.0,1.4907119849998598,0.03142606890691387,3.195292761756477,4.594682917363407,0.0,0.0
60,0.0,13.0,13.80353583083586,0.0,2.801999999999998,100.0,100.0,0.0,13.0,0.2304155478724093,4.1,1.5,0.0,0.0,0.0,1.4907119849998598,2.6269009720819665,0.0,1.7692044665454705,0.0,0.0,0.0,1.4907119849998598,0.033155334921374714,3.6040101122068027,3.3747427885527643,0.0,0.0
61,0.0,12.9,13.664678521478553,0.0,2.882999999999998,100.0,100.0,0.0,12.9,0.2309349077400185,4.6,1.5,0.0,0.0,0.0,1.4491376746189437,2.8700112070687114,0.0,2.066924983856184,0.0,0.0,0.0,1.4491376746189437,0.04921061028706874,3.0983866769659336,2.41522945769824,0.0,0.0
62,0.0,12.9,13.6562985680986,0.0,2.8879999999999977,100.0,100.0,0.0,12.9,0.23566234027620672,7.0,1.0,0.0,0.0,0.0,1.4491376746189437,3.068800826790964,0.0,2.1908385000573025,0.0,0.0,0.0,1.4491376746189437,0.05133807027767346,5.436502143433364,3.162277660168379,0.0,0.0
63,0.0,12.8,13.670930469530504,0.0,2.8999999999999977,100.0,100.0,0.0,12.8,0.24328247550086987,5.4205,2.5,0.0,0.0,0.0,1.5491933384829668,3.054326483675067,0.0,2.0159365069366637,0.0,0.0,0.0,1.5491933384829668,0.0594516737474788,3.4114484134715823,2.63523138347365,0.0,0.0
64,0.0,12.8,13.489470329670363,0.0,2.766999999999998,100.0,100.0,0.0,12.8,0.25136450927889176,4.301,0.0,0.0,0.0,0.0,1.5491933384829668,3.0716683825430913,0.0,1.950373468509727,0.0,0.0,0.0,1.5491933384829668,0.06080088611942186,2.9828042361360407,0.0,0.0,0.0
