#{"t_start": 1761408449.496938, "env_id": "None"}
r,l,t
37.3,44,2.004127
57.9,64,2.885687
33.5,40,3.587731
33.7,40,4.296689
32.7,40,5.014405
39.5,46,5.823658
32.9,40,6.536694
58.7,64,7.427451
44.9,50,8.247936
57.3,64,9.146499
33.3,40,9.877355
45.9,52,10.783037
51.3,58,11.700956
39.1,46,12.525114
38.9,46,13.311764
32.7,40,14.007375
33.5,40,14.727507
47.1,52,15.570677
34.9,42,16.341731
39.3,46,17.135633
32.7,40,17.865394
36.7,44,18.666736
32.9,40,19.384352
32.9,40,20.1026
47.3,54,20.981809
38.9,46,21.799405
39.7,46,22.610856
47.3,54,23.506928
32.9,40,24.236395
35.1,42,24.982642
57.9,64,25.897368
39.7,46,26.701965
33.5,40,27.454107
32.5,40,28.171795
45.5,52,29.064755
39.5,46,29.836429
33.5,40,30.576986
39.7,46,31.402698
33.3,40,32.132066
38.9,46,32.951823
32.9,40,33.690336
39.5,46,34.500177
33.7,40,35.224689
33.1,40,35.947647
33.5,40,36.680032
39.5,46,37.494312
32.7,40,38.238785
33.1,40,38.956485
46.1,52,39.790761
37.5,44,40.552148
52.1,58,41.45056
37.829,44,42.206517
64.1,70,43.199647
46.7,52,44.05509
51.9,58,44.922487
38.9,46,45.707875
39.7,46,46.545446
39.7,46,47.35079
39.9,46,48.193274
35.5,42,48.955004
52.1,58,49.891542
51.9,58,50.821433
46.3,52,51.699671
28.9,36,52.345628
33.5,40,53.060048
32.9,40,53.789038
45.26,51,54.620024
32.9,40,55.349755
32.9,40,56.08064
33.5,40,56.80593
26.7,34,57.427981
45.3,52,58.389774
37.5,44,59.184684
33.1,40,59.903509
52.3,58,60.796432
33.9,40,61.506895
33.1,40,62.223669
37.3,44,62.968442
39.1,46,63.790563
33.5,40,64.499838
40.1,46,65.326713
63.7,70,66.240799
33.7,40,66.970236
38.7,46,67.750862
39.1,46,68.502767
51.7,58,69.411972
38.7,46,70.215461
32.9,40,70.931782
38.7,46,71.744474
32.9,40,72.461513
57.5,64,73.411689
51.9,58,74.354898
39.1,46,75.135093
40.1,46,75.941284
51.1,58,76.812703
32.9,40,77.572923
45.3,52,78.44524
62.868,69,79.397964
57.3,64,80.342613
64.1,70,81.324575
33.5,40,82.052601
40.7,48,82.868083
45.3,52,83.714669
45.9,52,84.57759
45.5,52,85.449391
45.7,52,86.328578
41.5,46,87.130598
45.7,52,88.028577
45.3,52,88.904813
33.9,40,89.656346
44.5,52,90.562064
45.1,52,91.421521
46.1,52,92.297832
35.5,42,93.056415
41.5,48,93.877203
44.9,52,94.739653
45.7,52,95.641366
51.7,58,96.548808
33.7,40,97.285195
45.1,52,98.133038
29.7,36,98.785647
33.5,40,99.513847
57.7,64,100.39955
45.1,52,101.276597
33.3,40,102.003035
52.3,58,102.936331
39.1,46,103.744723
33.1,40,104.466432
29.1,36,105.125387
45.3,52,105.984397
38.9,46,106.800811
39.1,46,107.623993
35.5,42,108.397811
39.1,46,109.17959
46.1,52,110.024776
40.1,46,110.850998
39.7,46,111.691171
57.1,64,112.679491
37.3,44,113.482702
39.5,46,114.340879
32.9,40,117.047031
33.3,40,120.085483
38.3,46,123.564173
40.5,46,126.967416
43.239,50,130.53011
57.7,64,134.366626
39.3,46,137.650159
26.5,34,140.208481
33.1,40,143.242146
44.7,52,146.687013
44.7,52,150.297326
41.1,48,153.75373
34.3,40,156.754436
38.26,45,160.080617
33.9,40,163.084873
33.9,40,166.112683
52.5,58,169.793395
39.1,46,173.129103
37.9,44,176.289386
39.1,46,179.493677
46.7,52,183.128309
63.7,70,187.067116
49.473,56,190.658581
32.472,39,193.488929
70.7,76,197.510441
40.1,46,200.807609
38.7,46,204.106643
33.9,40,207.113516
45.1,52,210.739762
45.1,52,214.245508
51.7,58,217.931597
33.3,40,220.93555
34.5,42,224.039489
45.1,52,227.658389
76.9,82,231.659109
33.3,40,234.641398
63.7,70,238.460883
39.3,46,241.803424
51.9,58,245.400712
35.3,42,248.473272
46.7,52,252.089179
58.5,64,255.91099
39.9,46,259.096645
46.5,52,262.686376
46.3,52,266.332053
45.264,51,269.829502
33.1,40,272.762357
44.9,52,276.282446
39.5,46,279.556549
39.5,46,282.708439
33.3,40,283.396992
39.5,46,284.179316
63.1,70,285.049355
33.5,40,285.749061
38.9,46,286.549557
50.5,58,287.403953
44.7,52,288.2625
45.7,52,289.142847
38.3,44,289.910316
32.7,40,290.623358
54.1,58,291.464909
39.1,46,292.254665
52.3,58,293.124498
32.9,40,293.852493
58.3,64,294.7415
33.9,40,295.45062
37.5,44,296.20488
45.9,52,297.101138
34.5,42,297.901657
44.9,52,298.813337
34.9,40,299.568222
48.7,52,300.48997
54.1,58,301.475405
36.3,40,302.232671
60.229,62,303.210686
47.7,52,304.143577
48.5,52,305.046102
55.5,58,306.016732
35.7,40,306.769357
46.5,50,307.657401
50.7,54,308.658473
41.9,46,309.486773
35.1,40,310.21801
60.7,64,311.142868
48.1,52,312.036871
48.5,52,312.892876
48.3,52,313.782715
