Step,Ideology_adaptive_mean,Ideology_adaptive_direct_mean,AvgEnergy_mean,CommunityPool_mean,TotalScar_mean,Renewables_mean,NonRenewables_mean,InfrastructureSites_mean,AgentsAlive_mean,GiniEnergy_mean,AvgAdaptiveReward_mean,MinedRenewable_mean,MinedNonrenewable_mean,AvgAdaptiveEpsilon_mean,AvgAdaptiveEpsilonGlobal_mean,Ideology_adaptive_std,Ideology_adaptive_direct_std,AvgEnergy_std,CommunityPool_std,TotalScar_std,Renewables_std,NonRenewables_std,InfrastructureSites_std,AgentsAlive_std,GiniEnergy_std,AvgAdaptiveReward_std,MinedRenewable_std,MinedNonrenewable_std,AvgAdaptiveEpsilon_std,AvgAdaptiveEpsilonGlobal_std
0,15.0,0.0,20.0,0.0,0.0,100.0,100.0,0.0,15.0,0.0,0.0,0.0,0.0,0.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,15.0,0.0,19.5,0.0,0.223,100.0,100.0,0.0,15.0,0.003822692772143599,1.0073333333333332,1.2,1.0,0.9,0.8348120719364951,0.0,0.0,0.09428090415820607,0.0,0.5006229452725207,0.0,0.0,0.0,0.0,0.005568220956949411,0.015460024116378776,1.9321835661585918,2.1081851067789197,0.0,0.0
2,15.0,0.0,18.973333333333336,0.0,0.513,100.0,100.0,0.0,15.0,0.008910358127906904,1.0096666666666665,2.7,1.0,0.9,0.7743457727232265,0.0,0.0,0.12252487779635704,0.0,0.7761307163673455,0.0,0.0,0.0,0.0,0.009045075664117825,0.01598224323320842,3.2676869155073254,2.1081851067789197,0.0,0.0
3,15.0,0.0,18.493333333333332,0.0,0.5740000000000001,100.0,100.0,0.0,15.0,0.013587028414389257,1.0136666666666667,2.0,1.5,0.9,0.7182591099137144,0.0,0.0,0.21648140227480045,0.0,0.8152872704349878,0.0,0.0,0.0,0.0,0.010422679934312458,0.023171395733682352,2.8284271247461903,2.4152294576982394,0.0,0.0
4,15.0,0.0,18.113333333333333,0.0,0.7809999999999999,100.0,100.0,0.0,15.0,0.018036465887281427,1.0219999999999998,0.5,2.5,0.9,0.6662348619270341,0.0,0.0,0.255410586901237,0.0,0.9701826861186733,0.0,0.0,0.0,0.0,0.011733014865303398,0.03006987746673068,1.2692955176439848,3.5355339059327378,0.0,0.0
5,15.0,0.0,17.64666666666667,0.0,0.978,100.0,100.0,0.0,15.0,0.021111857538328338,1.011,0.8,1.5,0.9,0.6179787838684802,0.0,0.0,0.3092004823275745,0.0,1.1919992542876114,0.0,0.0,0.0,0.0,0.010564822257069789,0.01771168268978713,1.6865480854231356,2.41522945769824,0.0,0.0
6,15.0,0.0,17.253333333333334,0.0,1.321,100.0,100.0,0.0,15.0,0.027380610771861047,1.0219999999999998,0.4,3.0,0.9,0.5732179433044904,0.0,0.0,0.27719939785800324,0.0,1.2654682927675427,0.0,0.0,0.0,0.0,0.010827227061253712,0.025637549621937053,1.2649110640673518,3.496029493900505,0.0,0.0
7,15.0,0.0,16.722133333333332,0.0,1.1469999999999998,100.0,100.0,0.0,15.0,0.029174691588224232,1.001653333333333,1.432,0.0,0.9,0.5316991765791089,0.0,0.0,0.32129380423838727,0.0,1.0340755399013275,0.0,0.0,0.0,0.0,0.010776318572794581,0.005228299064811672,1.9112578755015417,0.0,0.0,0.0
8,15.0,0.0,16.255466666666667,0.0,1.3379999999999999,100.0,100.0,0.0,15.0,0.035912064787470686,1.0183333333333333,2.5,2.0,0.9,0.4931876569410381,0.0,0.0,0.3679909821761436,0.0,0.9636481607816089,0.0,0.0,0.0,0.0,0.014579159730421853,0.024907235301622095,3.92286743197994,2.581988897471611,0.0,0.0
9,15.0,0.0,15.9112,0.0,1.6729999999999996,100.0,100.0,0.0,15.0,0.03933333109886119,1.02936,0.636,3.5,0.9,0.4574655663827259,0.0,0.0,0.41119504248344607,0.0,1.0778893985727642,0.0,0.0,0.0,0.0,0.016230656147776173,0.037162933876659816,1.1664114006453965,4.743416490252569,0.0,0.0
10,15.0,0.0,15.417866666666665,0.0,1.4909999999999999,100.0,100.0,0.0,15.0,0.0454146654397584,1.0113333333333332,1.7,1.5,0.9,0.4243308636795173,0.0,0.0,0.5437836170961962,0.0,0.9958073218360176,0.0,0.0,0.0,0.0,0.016600115421442584,0.024605529841184724,2.2135943621178655,3.3747427885527643,0.0,0.0
11,15.0,0.0,15.06453333333333,0.0,1.9029999999999998,100.0,100.0,0.0,15.0,0.048924504453617554,1.027,0.2,3.5,0.9,0.3935961416610002,0.0,0.0,0.7053242875566429,0.0,1.2137091908690483,0.0,0.0,0.0,0.0,0.019333412874272038,0.05694810286351152,0.6324555320336759,7.8351061823621055,0.0,0.0
12,15.0,0.0,14.631199999999996,0.0,2.0679999999999996,100.0,100.0,0.0,15.0,0.05184627876741295,1.0146666666666666,0.4,2.0,0.9,0.3650875672513664,0.0,0.0,0.7756166037736584,0.0,1.3886028149826635,0.0,0.0,0.0,0.0,0.020872746470838442,0.025637549621937036,1.2649110640673518,3.496029493900505,0.0,0.0
13,15.0,0.0,14.137866666666659,0.0,2.0789999999999997,100.0,100.0,0.0,15.0,0.057595144292733956,1.0086666666666666,1.4,1.0,0.9,0.3386438982837418,0.0,0.0,0.8309820933727599,0.0,1.4000908700668124,0.0,0.0,0.0,0.0,0.02309692930114731,0.0153317229428092,2.3190036174568114,2.1081851067789192,0.0,0.0
14,15.0,0.0,13.771199999999993,0.0,2.6799999999999997,100.0,100.0,0.0,15.0,0.060254022102581864,1.027,1.1,3.0,0.9,0.31411557152766906,0.0,0.0,0.8206248026148542,0.0,1.3887244347081806,0.0,0.0,0.0,0.0,0.024584882282887962,0.031208181896482688,2.0248456731316584,3.496029493900505,0.0,0.0
15,15.0,0.0,13.277866666666657,0.0,2.5289999999999995,100.0,100.0,0.0,15.0,0.06356568188051644,1.0036666666666665,0.4,0.5,0.9,0.2913638567716998,0.0,0.0,0.8366451996655808,0.0,1.1504438756893405,0.0,0.0,0.0,0.0,0.02599360947094422,0.011595018087284093,1.2649110640673518,1.5811388300841898,0.0,0.0
16,15.0,0.0,12.877866666666657,0.0,2.7449999999999997,100.0,100.0,0.0,15.0,0.06774140383044525,1.0226666666666666,1.8,2.0,0.9,0.2702600721766565,0.0,0.0,0.8590749431945353,0.0,1.3274976459489483,0.0,0.0,0.0,0.0,0.03041329693700543,0.026471508093433935,1.9888578520235065,3.496029493900505,0.0,0.0
17,15.0,0.0,12.42453333333332,0.0,2.954999999999999,100.0,100.0,0.0,15.0,0.07750193597530082,1.0183333333333333,1.6,2.5,0.9,0.2506848564616681,0.0,0.0,0.8566998869477574,0.0,1.339247301036419,0.0,0.0,0.0,0.0,0.025451168484117156,0.019325030145473487,2.7968235951204043,2.6352313834736494,0.0,0.0
18,15.0,0.0,12.057866666666653,0.0,3.148999999999999,100.0,100.0,0.0,15.0,0.08565724227879143,1.027,1.1,3.0,0.9,0.23252749380652,0.0,0.0,0.9179627900686503,0.0,1.4324993697884978,0.0,0.0,0.0,0.0,0.029778570733516637,0.02830390628713838,2.5144029554194813,3.496029493900505,0.0,0.0
19,15.0,0.0,11.684533333333318,0.0,3.261999999999999,100.0,100.0,0.0,15.0,0.09219862684245343,1.0233333333333332,0.2,3.0,0.9,0.21568528765202388,0.0,0.0,0.9775489025057148,0.0,1.3034893342273437,0.0,0.0,0.0,0.0,0.029213537812864204,0.02048787657176209,0.6324555320336759,2.581988897471611,0.0,0.0
20,15.0,0.0,11.231199999999983,0.0,3.222999999999999,100.0,100.0,0.0,15.0,0.09722174361370932,1.010333333333333,1.2,0.5,0.9,0.2000629798566722,0.0,0.0,0.9434483008073627,0.0,1.19476682987844,0.0,0.0,0.0,0.0,0.02782505449996026,0.016662962551348876,2.6997942308422114,1.5811388300841895,0.0,0.0
21,15.0,0.0,10.85119999999998,0.0,3.852999999999999,100.0,100.0,0.0,15.0,0.10029640033855163,1.0243333333333333,1.2,2.5,0.9,0.18557221192437534,0.0,0.0,1.0422373275380166,0.0,1.7262164792786951,0.0,0.0,0.0,0.0,0.023196017742132046,0.033074924297478714,1.6865480854231356,3.5355339059327373,0.0,0.0
22,15.0,0.0,10.437866666666647,0.0,4.166999999999999,100.0,100.0,0.0,15.0,0.11077802541790742,1.018333333333333,0.9,2.0,0.9,0.17213102525602905,0.0,0.0,1.113190445476982,0.0,1.8662145285756042,0.0,0.0,0.0,0.0,0.026208604625901986,0.024557817894778188,1.5238839267549946,3.496029493900505,0.0,0.0
