timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std,TotalScar_std,MinedRenewable_std,MinedNonrenewable_std
0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,11.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
2,15.0,11.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
3,15.0,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,10.096666666666666,13.649999999999995,0.021306651711612213,2.0780000000000003,2.8,17.5,0.0,0.16215904401406508,5.009640705679399,0.009626826541528688,1.0340870369557873,4.019950248448356,6.422616289332565
5,15.0,9.473333333333333,21.69999999999999,0.03372798935575607,3.721,4.4,11.5,0.0,0.1492797522922801,3.312702823979233,0.008917737931686051,1.5396392434593242,4.5431266766402185,5.937171043518958
6,15.0,9.011999999999997,25.41999999999998,0.03751526546125603,4.728,1.6,6.0,0.0,0.17562080362720908,3.3757369565770343,0.01013990176309975,1.5591651612321253,2.65329983228432,4.898979485566356
7,15.0,8.514,28.389999999999976,0.04709818373332877,5.1899999999999995,3.6,5.5,0.0,0.16971741218861428,3.6073397400300364,0.007829781621480479,1.5475205976012079,2.8,4.716990566028302
8,15.0,7.860666666666664,28.389999999999976,0.062482640584637573,5.042,7.6,0.0,0.0,0.19226024029944405,3.6073397400300364,0.01065561502910611,1.503554455282548,5.2,0.0
9,15.0,7.287333333333332,28.389999999999976,0.07817826693946787,4.893999999999999,9.2,0.0,0.0,0.3374999588477342,3.6073397400300364,0.014188905224660249,1.4595903534896357,4.019950248448356,0.0
10,15.0,8.317999999999996,5.829999999999996,0.19092548045422633,4.745999999999999,11.2,0.0,0.0,0.7599885964056736,11.843990037145412,0.06148762425804267,1.4156284823356724,4.995998398718719,0.0
11,15.0,7.69133333333333,5.829999999999996,0.2211654723921023,4.597999999999998,9.6,0.0,0.0,0.7107807913367753,11.843990037145412,0.06268353421525658,1.3716690562960148,6.974238309665077,0.0
12,15.0,7.204666666666664,5.829999999999996,0.24050477680906196,4.449999999999999,9.6,0.0,0.0,0.7189007040073209,11.843990037145412,0.07174557966330866,1.3277123182376516,4.079215610874228,0.0
13,15.0,6.776460259344008,10.405096109839809,0.23706036109340048,5.257,8.352,4.0,0.0,0.8280347703354085,12.761047646107421,0.0730527897139314,1.4720465345905336,5.186098340756758,4.358898943540674
14,14.9,6.482060673422683,14.025096109839808,0.2361719732846778,6.187999999999998,2.4,6.0,0.3,0.8432577807968759,11.653493087706234,0.06946293565696282,2.0939665708888477,1.9595917942265426,5.385164807134504
15,14.9,7.503448766101238,0.7824113656242201,0.186485381207583,6.875999999999998,11.2,3.5,0.3,0.5112853501687837,0.6573123158464973,0.09119605777200933,2.3949288089628045,6.4,4.5
16,14.9,7.358227301451464,4.014025260836644,0.17817758162852476,7.113999999999999,10.4,2.0,0.3,0.7282166103398549,7.670099655602491,0.06480023004185373,2.162171131062479,7.200000000000001,3.3166247903554
17,14.9,7.361220990493346,4.301977068065558,0.17712748370441167,6.824999999999998,8.0,0.5,0.3,0.6360093336377897,7.62350515922548,0.05765182086550627,2.1648521889496286,4.381780460041329,1.5
18,14.9,7.026945410238362,8.978098349530082,0.15296327660067371,6.971999999999999,5.6,2.5,0.3,0.6526926948863735,8.548863557628339,0.041363586224230364,2.2237706716296084,4.079215610874227,2.5
19,14.9,6.911074366168559,10.72787829629139,0.15574046601355213,7.2319999999999975,2.396,7.0,0.3,0.6719794016561594,8.106422341118211,0.04234712101294225,2.577932504934914,2.650913804709614,6.782329983125268
20,14.9,7.655333945865107,1.5358479548804465,0.11439358839810998,7.5509999999999975,8.0,5.5,0.3,0.5648136369495775,1.9080581482923882,0.044376915915365564,1.8856269514408188,3.5777087639996634,4.716990566028302
21,14.9,7.5052383524038415,3.0872818567994194,0.12071065379700044,8.008,4.0,5.5,0.3,0.43282116824493144,2.948683963647226,0.036356593768345234,1.2827065135875777,5.059644256269407,6.103277807866851
22,14.9,7.356520056929954,3.8994848603363224,0.1339458796769053,7.785999999999999,7.159999999999999,2.0,0.3,0.4268417111018038,3.132173951936542,0.04209389046052385,1.2843301756168461,6.127185324437314,3.3166247903554
23,14.9,7.0861052470072705,6.0383588659205145,0.13494512386639285,7.720999999999998,6.0,2.0,0.3,0.37993623491928386,4.733051600587602,0.030844066255297873,1.3935598300754792,4.8166378315169185,3.3166247903554
24,14.9,6.9616562316411805,7.005094096411857,0.14727740995002858,8.044999999999996,2.8,5.0,0.3,0.504195214520333,4.813667583168793,0.030954716945155513,1.2400826585353089,3.1240998703626617,5.0
25,14.9,7.4089898636245195,1.9824377599178107,0.12260047839119093,7.6039999999999965,11.6,3.0,0.3,0.5444597132017985,2.205813614486143,0.03434407806836103,1.8500551343135687,4.176122603564219,3.3166247903554
26,14.9,7.3019108964537285,2.5046222674796645,0.1264744929079316,7.5589999999999975,4.796,3.0,0.3,0.4948535624431472,2.2642944130989453,0.03753594591386516,1.5213116051618087,4.662032174921147,3.3166247903554
27,14.9,7.166703411542815,3.674101025500452,0.13946869952961036,7.815999999999995,6.4,3.0,0.3,0.5608868604487497,2.077913088356679,0.04050847868275252,1.8132082064671995,3.6660605559646724,3.3166247903554
28,14.9,6.939444709581812,4.57726726920121,0.15367863012973668,7.224999999999996,3.9799999999999995,2.5,0.3,0.6650565970137621,1.895243844284959,0.044502599574475894,1.5783234776179433,4.000449974690347,4.6097722286464435
29,14.9,6.71911137624848,5.197267269201206,0.17391032295433867,7.654999999999996,2.8,5.5,0.3,0.49117787524319895,2.0123581138520907,0.03982496629064034,1.6261565115326375,3.124099870362662,5.220153254455275
30,14.9,7.0217889986028155,1.0116806088389303,0.13705122477872486,7.125999999999995,9.2,1.5,0.3,0.5185707366776011,0.6945459473077199,0.03816556353997106,1.2567115818675336,5.075431016179809,2.29128784747792
31,14.9,6.8636346996868225,1.5839950925788115,0.1499630229146584,7.095999999999995,3.2,3.0,0.3,0.5912036389823466,1.0830457019069186,0.03645763715789944,1.4380834468138484,3.487119154832539,3.3166247903554
32,14.9,6.885032117088194,2.685533831558236,0.16270084569470206,7.3559999999999945,7.972499999999999,4.0,0.3,0.5470137230792975,1.249766019194263,0.03477291760805051,1.6345103242255763,5.370117899078194,4.898979485566356
33,14.8,6.824184498040576,3.245533831558234,0.16710722261894012,7.256999999999996,4.4,3.5,0.39999999999999997,0.6883562260698761,1.3085342463217846,0.04867015591136796,1.7939623741873736,3.7735924528226414,3.905124837953327
34,14.8,6.57237497423105,3.5455338315582323,0.17829818963109356,6.759999999999995,4.4,2.0,0.39999999999999997,0.6485704067686722,1.4836275558013077,0.05285001142164774,1.584487298781533,2.154065922853802,2.449489742783178
35,14.8,6.807279972036132,1.1079075623150054,0.1584573415468998,6.678999999999995,8.0,4.0,0.39999999999999997,0.6826032301555546,0.7627701019880655,0.05966980878583624,1.5256372439082626,3.5777087639996634,3.0
36,14.7,6.616124033450648,1.4679075623150042,0.16661432552012403,6.398999999999995,2.8,3.0,0.45825756949558405,0.5954399450676461,0.8663283347669503,0.05160760993131902,1.5883352920589529,2.561249694973139,4.0
37,14.7,6.509838319164932,2.6379075623149997,0.18435904556197874,6.581999999999995,6.4,5.5,0.45825756949558405,0.7518895373002545,1.433357722966945,0.05491547428863207,1.5594601630051341,3.6660605559646724,6.103277807866851
38,14.7,6.337635031939656,3.2538140135512967,0.20058123339090733,6.300999999999995,4.8,1.5,0.45825756949558405,0.8219450760171454,1.3237990319636277,0.05902696739698706,1.54679313419733,5.878775382679628,2.29128784747792
39,14.6,6.432396052002794,3.9738140135512934,0.20062331506119896,6.425999999999995,5.576,6.0,0.66332495807108,0.8055719163155891,1.6035723718226458,0.06555321913954754,1.7032627513099674,3.1827635790300226,5.385164807134504
40,14.6,6.538226819374256,0.3357009191596765,0.17294216372767804,6.568999999999994,4.8,1.0,0.66332495807108,0.711709782107229,0.44146523323521003,0.06608312892622109,2.5012414917396515,3.4871191548325386,2.0
41,14.5,6.3570348113350095,0.5357009191596761,0.17392861300389648,6.121999999999995,3.6,1.0,0.6708203932499369,0.6251490413438656,0.6104188598753703,0.05647353413434796,2.49146061578344,2.8,2.0
42,14.5,6.3435768765922855,1.3451523578829523,0.18982630420767485,5.987999999999995,7.2,3.5,0.6708203932499369,0.7072231796297811,1.3553616773769201,0.06007555176968428,2.539664544777518,4.664761515876241,3.905124837953327
43,14.4,6.166238197922885,2.0452621436224736,0.19725396449260965,5.686999999999995,4.4,1.0,0.7999999999999999,0.6478936505357037,1.4883804187207794,0.053306245603716315,1.9949137825981347,4.882622246293482,2.0
44,14.4,6.0630220807067685,2.225262143622472,0.2098722113089722,5.358999999999996,6.0,3.5,0.7999999999999999,0.7514820003524756,1.522029160421082,0.062103047682080914,1.9635501012197265,3.687817782917155,3.2015621187164243
45,14.4,6.0963462451625245,0.3203110512758406,0.20204824750597847,5.2369999999999965,3.5885,3.0,0.7999999999999999,0.8033806035822154,0.44019888628952253,0.07118726550283355,2.032078000471438,4.521945405464334,4.58257569495584
46,14.3,6.070357252403213,0.787040474023292,0.21270403692943513,5.473999999999996,5.2,3.0,0.7810249675906655,0.7778577411871982,0.43678130776426416,0.06904139593334978,1.692726794258305,4.4,4.0
47,14.2,6.02737376290151,1.5156476408483208,0.2214598241516942,5.325999999999995,5.2,3.0,0.8717797887081348,0.7724520820124429,0.8415313808268353,0.06720442400113968,1.776463903376592,4.4,3.3166247903554
48,13.9,6.069572034257063,2.1156476408483194,0.21988213074454244,6.140999999999996,4.4,4.5,1.044030650891055,0.6429531393094249,0.9110813523689746,0.058652341480472485,2.4673810001700174,7.472616676907762,3.5
49,13.8,6.081795877366317,2.475647640848318,0.2152432563724182,5.647999999999994,6.3925,3.0,1.0770329614269007,0.6064661296560165,0.9885357500989457,0.0535610023268558,2.0924569290668797,4.076334904052905,3.3166247903554
50,13.8,6.039374918441005,0.11999999999999952,0.19558422339899312,5.421999999999995,3.2,2.0,1.0770329614269007,0.6103838504471288,0.29933259094191456,0.05607115518953234,2.043730902051441,3.4871191548325386,2.449489742783178
51,13.8,5.8960787765811675,0.30467289712831763,0.2149492183608744,5.273999999999996,3.596,2.0,1.0770329614269007,0.776265544301585,0.36270618419424244,0.059841624387158183,2.0541285256770077,4.17575669789321,2.449489742783178
52,13.7,5.899795088547377,0.9446728971283154,0.23080129766733531,5.2289999999999965,5.6,3.5,1.1874342087037917,0.8885250918665599,0.8172970498714005,0.07208629706613279,2.4283428505876175,3.6660605559646724,3.905124837953327
53,13.3,5.929673517923567,1.4446728971283145,0.22569452564167544,4.822999999999996,4.0,2.5,1.4866068747318506,0.8454861738186364,0.7999957244344834,0.07995822586247175,2.2991391867392443,5.366563145999495,3.3541019662496847
54,13.1,5.931131947117095,1.72582645198669,0.2205935922108572,4.782999999999996,5.2,2.5,1.6401219466856725,0.89183148262773,1.0106126105842714,0.06858381049914467,2.4004876587893538,4.4,3.3541019662496847
55,13.1,6.07592589799336,0.5399999999999979,0.20667298717216642,4.8189999999999955,5.566000000000001,2.5,1.6401219466856725,0.7283783406145478,0.6514598989960919,0.0629661060029072,2.5005617368903317,5.651831915405836,2.5
56,12.9,6.042661433704668,1.0257320441988882,0.19957171181371433,4.631999999999995,5.2,1.5,1.7,0.72197848632422,1.1116277024999053,0.05017237787870168,2.3684796811456907,2.5612496949731396,2.29128784747792
57,12.6,5.98000889141016,1.2857320441988873,0.19596528042208256,4.528999999999996,3.2,1.5,1.8547236990991407,0.7096688748911532,1.11657309925584,0.06412192940218696,2.498329241713348,2.993325909419153,2.29128784747792
58,12.5,5.969248346770597,1.565732044198885,0.1986948293061342,4.439999999999996,5.2,1.0,1.9621416870348585,0.8187645533292562,1.2166862953244832,0.0616679564006298,2.3981784754267133,5.075431016179809,2.0
59,12.2,5.986869173177597,1.6719656854230258,0.1831250376828163,4.3619999999999965,5.6,1.5,1.98997487421324,0.8041403763678789,1.3306444129746307,0.05154275083262698,2.470711638374659,3.2,2.29128784747792
60,12.2,6.05171007063328,0.6075340417696022,0.17624105130104967,4.243999999999995,5.2,2.0,1.98997487421324,0.8750800978719293,0.6312987323638117,0.06582663867348648,2.349702959950468,4.4,2.449489742783178
61,12.2,6.043982797906007,0.6075340417696022,0.1859382392618568,4.244999999999996,3.6,3.0,1.98997487421324,0.8746882470631546,0.6312987323638117,0.07504507512557233,2.1630036985636414,3.3226495451672298,4.58257569495584
62,12.1,6.095653853452944,0.842487180020741,0.20157769591060964,4.083999999999997,4.8,3.5,2.0223748416156684,0.8626433118063372,0.9295628092438604,0.07785415773256961,1.9214536164060776,3.9191835884530852,3.2015621187164243
63,12.0,6.096556522068355,1.1024871800207403,0.20583399948775566,4.013999999999996,5.6,1.0,1.8973665961010275,0.9820633005213932,0.8505495475526846,0.08835799164607212,1.8354628843972831,5.71314274283428,2.0
64,11.8,6.1391066413720035,1.4024871800207395,0.19580225700555579,3.9439999999999964,4.8,2.0,2.0880613017821097,0.8279803242555767,1.2263532218857778,0.08613137286865052,1.708380519673528,4.308131845707603,3.3166247903554
65,11.7,6.173334235879128,0.3340347163886124,0.19349398612192176,3.8109999999999955,3.1250000000000004,2.0,2.193171219946131,0.9032765943543424,0.37726479946549524,0.08299129098311561,1.876568410690107,2.981715110469141,2.449489742783178
66,11.5,6.091454511615902,0.7340347163886105,0.1919956350172117,3.671999999999996,2.0,2.0,2.247220505424423,0.7881655087323295,0.8895166223063506,0.07228270158087001,1.8034123211290296,2.6832815729997477,2.449489742783178
67,11.3,6.01081700310701,0.85403471638861,0.19401278455931667,3.537999999999996,2.4,1.5,2.238302928559939,0.6660504038543567,0.9923061470262242,0.07565652158022561,1.6650153152448763,2.65329983228432,2.29128784747792
68,11.3,5.980817003107009,0.934034716388609,0.20475190526415407,3.5629999999999966,3.6,2.5,2.238302928559939,0.6887366260203375,0.951643806686017,0.06814703652026848,1.704687947983441,2.8000000000000003,2.5
69,11.2,6.042869565608185,1.260897095146763,0.21558605258259309,3.581999999999996,5.2,3.0,2.4,0.6435299402647059,1.0076206126659055,0.06307110913851532,1.6037131913157026,4.4,2.449489742783178
70,11.1,6.0324339268874585,0.2120926546365665,0.21261765017931095,3.2459999999999964,4.4,1.0,2.467792535850613,0.7176248821689752,0.31698427218208497,0.06674453171974909,1.3787980272686775,5.2,2.0
71,10.9,5.970618749669361,0.4320926546365659,0.21196167109292013,3.494999999999996,3.2,2.5,2.5475478405713994,0.6958004133296009,0.3933932647754865,0.05768583448328174,1.401950427083639,2.4000000000000004,3.3541019662496847
72,10.6,6.05917889623337,0.5743279117493423,0.1916105489523936,3.367999999999996,4.8,0.5,2.6153393661244038,0.7795534641068231,0.5573083925233666,0.06056146868744359,1.2645615841073132,2.9933259094191533,1.5
73,10.2,6.171507354845288,1.1543279117493388,0.18274448945294247,3.5349999999999966,2.8,2.5,2.749545416973504,0.7439243841358582,0.7112184613254361,0.05155003810932405,1.3857795639999886,3.124099870362662,3.3541019662496847
74,10.2,6.230126402464336,1.4943279117493364,0.18238428314812274,3.262999999999997,6.4,1.5,2.749545416973504,0.6485739492266422,0.7957943953940367,0.05209472450831255,1.4712175230060298,5.986651818838307,3.2015621187164243
75,10.2,6.320350817680177,0.6599999999999985,0.17285511008051543,3.1489999999999965,4.4,1.5,2.749545416973504,0.6536286272968992,0.5444263035526472,0.05555909527600828,1.6167897204027484,4.17612260356422,2.29128784747792
