timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std,TotalScar_std,MinedRenewable_std,MinedNonrenewable_std
0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,11.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
2,15.0,11.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
3,15.0,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,9.65333333333333,0.0,0.045136868528050454,0.0,22.4,0.0,0.0,0.26127890589687247,0.0,0.008054056206757277,0.0,7.8383671769061705,0.0
5,15.0,8.533333333333331,0.0,0.04266786615727405,0.0,21.6,0.0,0.0,0.2231093404090872,0.0,0.00983938881113934,0.0,6.740919818541086,0.0
6,15.0,7.826666666666665,0.0,0.02195052656966161,0.0,9.2,0.0,0.0,0.22350739485653598,0.0,0.019038391565642035,0.0,5.670978751503131,0.0
7,15.0,7.2933333333333294,0.0,0.011580086580086735,0.0,4.0,0.0,0.0,0.08537498983243787,0.0,0.010280656160065875,0.0,6.196773353931867,0.0
8,15.0,6.573333333333331,0.0,0.03903738654882263,0.0,9.6,0.0,0.0,0.19821424996424677,0.0,0.016829265646016556,0.0,5.425863986500215,0.0
9,15.0,6.486666666666665,0.0,0.12194220857814733,0.0,19.6,0.0,0.0,0.5155795013596081,0.0,0.02570393848851215,0.0,8.284926070883193,0.0
10,15.0,6.51333333333333,0.0,0.17308771369562098,0.0,18.0,0.0,0.0,0.44025245282930825,0.0,0.015329630294393833,0.0,4.8166378315169185,0.0
11,15.0,6.466666666666663,0.0,0.17905262363836108,0.0,8.4,0.0,0.0,0.4997777283731016,0.0,0.023171616958487698,0.0,5.499090833947009,0.0
12,15.0,6.526666666666664,0.0,0.16251254951899263,0.0,11.2,0.0,0.0,0.4038151392242083,0.0,0.02949266182135008,0.0,5.878775382679628,0.0
13,15.0,6.3399999999999945,0.0,0.1523920838289213,0.0,5.6,0.0,0.0,0.3926547819367258,0.0,0.0340877206971562,0.0,3.2,0.0
14,15.0,6.4646666666666635,2.4299999999999864,0.17797962218301092,0.0,14.4,0.0,0.0,0.5741161322705833,1.561441641560764,0.03233638575475978,0.0,8.2365041127896,0.0
15,15.0,6.936666666666663,1.5499999999999836,0.1700502941935905,0.0,16.4,0.0,0.0,0.582609074194123,0.4153311931458992,0.0437954540179215,0.0,4.882622246293481,0.0
16,15.0,7.343999999999997,1.7399999999999725,0.14999166225353516,0.0,16.4,0.0,0.0,0.5625355297420973,0.39799497484264357,0.039860547069529184,0.0,7.889233169326408,0.0
17,15.0,7.363999999999995,1.7399999999999725,0.13143019584305,0.0,8.4,0.0,0.0,0.4820991138298799,0.39799497484264357,0.044132218103050805,0.0,7.255342858886822,0.0
18,15.0,7.143999999999996,1.7399999999999725,0.12253403455998446,0.0,3.6,0.0,0.0,0.4726304640578679,0.39799497484264357,0.043706286255424664,0.0,3.3226495451672298,0.0
19,15.0,7.261999999999996,4.169999999999972,0.13616459833103353,0.0,13.6,0.0,0.0,0.5956662003355753,1.4036025078347518,0.042049513528969004,0.0,7.418894796396563,0.0
20,15.0,8.068499999999993,3.4724999999999957,0.10407351799178292,0.0,24.0,0.0,0.0,0.4700629095013655,2.151349866943997,0.04372327538612615,0.0,5.059644256269407,0.0
21,15.0,8.13816666666666,5.227499999999994,0.09619187542257887,0.0,12.4,0.0,0.0,0.5308098895922055,2.46156581264851,0.04690132513826677,0.0,4.882622246293481,0.0
22,15.0,7.947499999999993,5.787499999999987,0.09379761901228818,0.0,5.6,0.0,0.0,0.5042393886946075,2.2765997122902237,0.04716961571659367,0.0,4.8,0.0
23,14.9,7.690915644374085,5.877499999999985,0.08907829246975478,0.0,2.0,0.0,0.3,0.4237546665643904,2.3316423932498567,0.0371510700187491,0.0,2.0,0.0
24,14.9,8.049277860783828,9.76849532528241,0.10188024348186753,0.0,21.6,0.0,0.3,0.4498727438924328,2.7633633596334177,0.03682554392627138,0.0,7.83836717690617,0.0
25,14.9,8.830607707866147,7.309833333333314,0.0660907094778291,0.0,20.8,0.0,0.3,0.39274518774843625,6.133268453008269,0.024837580700677323,0.0,6.881860213634101,0.0
26,14.9,8.796321993580436,9.165833333333307,0.05520314128534083,0.0,10.4,0.0,0.3,0.3472212946563618,6.6358831050081895,0.02377447383300782,0.0,5.986651818838305,0.0
27,14.9,8.568321993580435,9.885833333333306,0.052819466703481296,0.0,4.4,0.0,0.3,0.3300839548156247,6.643180306399424,0.025719907274869898,0.0,6.3118935352238,0.0
28,14.9,8.461659679901501,11.719772391505051,0.0697553573911798,0.0,9.6,0.0,0.3,0.20565825056052664,6.621331043148596,0.03167781878569123,0.0,4.8,0.0
29,14.9,8.72174115094229,15.199978897321781,0.07247952780388485,0.0,18.4,0.0,0.3,0.34754565154536393,7.190486853511665,0.024089122487435163,0.0,8.616263691415208,0.0
30,14.9,9.295228767739601,13.763517435231506,0.05939834485816764,0.0,18.0,0.0,0.3,0.3999222564525635,11.46500468798335,0.021396484617984893,0.0,4.09878030638384,0.0
31,14.9,9.216657339168172,15.563517435231507,0.0516881119296563,0.0,8.8,0.0,0.3,0.35800276707530554,11.686285363503748,0.022084268518219503,0.0,4.995998398718719,0.0
32,14.9,9.251429520325038,18.071934717878456,0.06006261250355094,0.0,12.0,0.0,0.3,0.2909441140743587,11.344365552801431,0.0248223598526602,0.0,6.6932802122726045,0.0
33,14.9,9.078223247948774,19.500028803522472,0.06864230085814423,0.0,6.4,0.0,0.3,0.2441731302530749,11.765484597733142,0.01933500523818237,0.0,3.6660605559646724,0.0
34,14.9,9.256605600889948,22.684293509404817,0.06989214651713027,0.0,16.4,0.0,0.3,0.3881541249659437,11.905939461842696,0.02155446094584093,0.0,9.372299611087985,0.0
35,14.9,9.508811873266216,25.2761994237608,0.056372133732040974,0.0,16.4,0.0,0.3,0.31477132471374675,13.499145043929435,0.021443685128646677,0.0,4.882622246293481,0.0
36,14.9,9.696284285493368,28.815541811782072,0.05951315617216364,0.0,16.4,0.0,0.3,0.2852968944763207,13.22501834222018,0.02186840913388044,0.0,7.031358332498779,0.0
37,14.9,9.578950952160035,30.70554181178207,0.06548291541874966,0.0,8.8,0.0,0.3,0.24794082504501105,13.888292081767599,0.021951405765655952,0.0,6.881860213634101,0.0
38,14.9,9.311950952160036,31.425541811782068,0.06913925236473259,0.0,3.6,0.0,0.3,0.1958541738765632,14.07561899085648,0.018802763867695766,0.0,3.32264954516723,0.0
39,14.9,9.434950952160035,34.725541811782065,0.06599781846306858,0.0,14.8,0.0,0.3,0.33396084936938925,13.767982026353105,0.01743284344260486,0.0,8.207313811473277,0.0
40,14.9,9.957907111361452,38.98619942376078,0.06783341735429844,0.0,24.0,0.0,0.3,0.3573891580036133,15.578247532236514,0.019779130694701417,0.0,5.059644256269407,0.0
41,14.9,10.022911879894073,41.95613266430413,0.06677732359172761,0.0,13.2,0.0,0.3,0.2884136748230813,16.0689577909027,0.0162577739573086,0.0,4.4,0.0
42,14.9,9.833911879894071,43.306132664304116,0.0664913748719707,0.0,6.0,0.0,0.3,0.23859604867787235,16.30635835152899,0.019055275080795752,0.0,4.47213595499958,0.0
43,14.9,9.503911879894071,43.756132664304126,0.06984344307849592,0.0,2.0,0.0,0.3,0.24739256264632759,16.27534209251543,0.02012373007478536,0.0,2.0,0.0
44,14.9,9.872245213227403,48.70613266430412,0.08398597507345591,0.0,22.0,0.0,0.3,0.44638603675745264,15.30347945919363,0.017993834205573368,0.0,8.438009243891594,0.0
45,14.9,10.17991187989407,53.29613266430412,0.08116496554796497,0.0,20.8,0.0,0.3,0.4000862948298142,15.77956546940271,0.011524528478635353,0.0,6.881860213634101,0.0
46,14.9,10.145911879894069,55.636132664304114,0.07409898816138565,0.0,10.4,0.0,0.3,0.40161523614152506,15.995593893300464,0.014530823948110123,0.0,5.986651818838305,0.0
47,14.9,9.899911879894068,56.62613266430412,0.07127629881184072,0.0,4.4,0.0,0.3,0.3221649745544662,16.21955541583612,0.01674621969367875,0.0,6.3118935352238,0.0
48,14.9,9.837911879894069,58.78613266430413,0.09052009453684373,0.0,9.6,0.0,0.3,0.4344141541261801,15.599286981126554,0.015912747727780223,0.0,4.8,0.0
49,14.9,10.094245213227403,63.01613266430413,0.0985553856604617,0.0,18.8,0.0,0.3,0.47857068335765063,15.502059670545394,0.017755467983187664,0.0,8.207313811473277,0.0
50,14.9,10.874911879894068,58.89613266430416,0.10868902751593275,0.0,18.0,0.0,0.3,1.2789979614055116,23.229720854629786,0.06541250193588037,0.0,4.09878030638384,0.0
51,14.9,10.783911879894067,60.87613266430416,0.09896672757956934,0.0,8.8,0.0,0.3,1.153169568123185,23.951227615000608,0.07233622222147994,0.0,4.995998398718719,0.0
52,14.9,10.805911879894065,63.57613266430417,0.11138447615625786,0.0,12.0,0.0,0.3,1.1661248818093515,23.718254510941474,0.06766929810419635,0.0,6.6932802122726045,0.0
53,14.9,10.631911879894066,65.01613266430417,0.12170972464471122,0.0,6.4,0.0,0.3,1.2370106030802934,23.508269818470477,0.0694212310934713,0.0,3.6660605559646724,0.0
54,14.9,10.459245213227401,73.56613266430415,0.10233849283701384,0.0,16.0,0.0,0.3,0.38202040885196825,15.314695074776862,0.018168375495825922,0.0,9.633275663033837,0.0
55,14.9,10.637578546560732,77.2661326643042,0.08839723911621733,0.0,16.4,0.0,0.3,0.38101679962280194,15.261023861581274,0.012459930588378954,0.0,4.882622246293481,0.0
56,14.9,10.81457854656073,80.9561326643042,0.09347604185072031,0.0,16.4,0.0,0.3,0.31233601035031927,15.319398208726707,0.017813131311638787,0.0,7.031358332498779,0.0
57,14.9,10.722622387359312,82.9654750523255,0.09848135124270743,0.0,8.8,0.0,0.3,0.34965985629140756,15.426084044710958,0.017009709379955034,0.0,6.881860213634101,0.0
58,14.9,10.449622387359314,83.7754750523255,0.1038636320175849,0.0,3.6,0.0,0.3,0.3689858936127356,15.514134482380012,0.017248775074683267,0.0,3.32264954516723,0.0
59,14.9,10.549955720692646,87.01547505232551,0.10187041136900268,0.0,14.4,0.0,0.3,0.3652450757461052,15.364246798787905,0.014776669472385925,0.0,8.42852300228219,0.0
60,14.9,10.996289054025977,92.42547505232555,0.1010669050997836,0.0,24.0,0.0,0.3,0.4017948616320848,14.851686631790423,0.013412412516857255,0.0,5.059644256269407,0.0
61,14.9,11.057955720692643,95.44547505232558,0.09904972455649355,0.0,13.2,0.0,0.3,0.32703020796017285,15.349597205008148,0.01599043662609205,0.0,4.4,0.0
62,14.9,10.84828905402598,96.70547505232558,0.09819756236753643,0.0,5.6,0.0,0.3,0.3479928082591812,15.467020718899295,0.016296853139323126,0.0,4.454211490264018,0.0
63,14.9,10.518289054025978,97.15547505232557,0.10195580397870582,0.0,2.0,0.0,0.3,0.3658234609570619,15.47738917285485,0.016045073564757092,0.0,2.0,0.0
64,14.9,10.88662238735931,102.1054750523256,0.11382004256434339,0.0,22.0,0.0,0.3,0.4322737657971737,14.915841903280437,0.014161768649318989,0.0,8.438009243891594,0.0
65,14.9,11.21762238735931,106.84547505232565,0.10668280739122878,0.0,20.8,0.0,0.3,0.43353600685810395,14.799139542715569,0.011618634447641864,0.0,6.881860213634101,0.0
66,14.9,11.18362238735931,109.18547505232569,0.09923440606189607,0.0,10.4,0.0,0.3,0.3660946489262211,15.425835320019713,0.01520523842956774,0.0,5.986651818838305,0.0
67,14.9,10.937622387359308,110.17547505232565,0.09654685776617025,0.0,4.4,0.0,0.3,0.34851962441415585,15.499988750966022,0.015725595440589008,0.0,6.3118935352238,0.0
68,14.9,10.87562238735931,112.33547505232568,0.1150516504276398,0.0,9.6,0.0,0.3,0.4592026304535309,15.146034137297397,0.016621728364740126,0.0,4.8,0.0
69,14.9,11.128622387359309,116.61547505232572,0.11873678810149357,0.0,18.8,0.0,0.3,0.4382088764945154,14.929581024600232,0.014578749812870427,0.0,8.207313811473277,0.0
70,14.9,11.343289054025977,120.58547505232573,0.10783381143961764,0.0,17.6,0.0,0.3,0.46174596655492617,14.871475789885189,0.011887750648580983,0.0,4.079215610874227,0.0
71,14.9,11.231622387359309,122.47547505232573,0.10048810279148176,0.0,8.4,0.0,0.3,0.37625645034808297,15.414571141938774,0.015113913656721866,0.0,4.882622246293481,0.0
72,14.9,11.253622387359307,125.17547505232578,0.11265063359818472,0.0,12.0,0.0,0.3,0.4653287765495234,15.141205783178487,0.017698912748725044,0.0,6.6932802122726045,0.0
73,14.9,11.076289054025972,126.66547505232577,0.12436644682883902,0.0,6.4,0.0,0.3,0.5018693293863237,15.15120743646973,0.017047510213753468,0.0,3.6660605559646724,0.0
74,14.9,11.214289054025974,130.1554750523258,0.12401494371888008,0.0,15.6,0.0,0.3,0.501953436001807,14.878509883213466,0.01700006290536289,0.0,9.372299611087985,0.0
75,14.9,11.365289054025974,133.76547505232583,0.1110778353096518,0.0,16.4,0.0,0.3,0.4899902077283094,14.71778285350426,0.013007581123817172,0.0,4.882622246293481,0.0
76,14.9,11.516967416599073,137.4352996137293,0.1178661998269482,0.0,16.0,0.0,0.3,0.5190236109357796,14.92137924589871,0.019436651470570995,0.0,6.6932802122726045,0.0
77,14.9,11.423634083265739,139.46529961372934,0.12383223773131917,0.0,8.8,0.0,0.3,0.5348588638556039,15.004054630851543,0.02089767409597903,0.0,6.881860213634101,0.0
78,14.9,11.129967416599072,140.18529961372934,0.12982841427876135,0.0,3.2,0.0,0.3,0.5699387711044338,15.07346600818763,0.0219069683023187,0.0,2.9933259094191533,0.0
79,14.9,11.209634083265737,143.33529961372938,0.13122654008995,0.0,14.0,0.0,0.3,0.5607297995579567,14.70300757875187,0.020800925237892058,0.0,8.246211251235321,0.0
80,14.9,14.56288846923066,104.7414838242556,0.2245125018592807,0.0,23.6,0.0,0.3,4.382007608705521,65.49396793127865,0.1574342073587258,0.0,5.2,0.0
81,14.9,13.808800749932413,119.59779961372935,0.1913925698139984,0.0,12.8,0.0,0.3,3.9387379785295553,57.07509469968896,0.14194908949556237,0.0,4.664761515876242,0.0
82,14.9,13.625800749932413,120.85779961372933,0.1898896868851479,0.0,6.0,0.0,0.3,3.9290480113662754,57.14925784860721,0.1444590745894723,0.0,4.47213595499958,0.0
83,14.9,13.295800749932408,121.30779961372932,0.19449120703118733,0.0,2.0,0.0,0.3,3.937443890355943,57.11010077421507,0.14546386209268192,0.0,2.0,0.0
84,14.9,11.857634083265738,152.95529961372944,0.13826748335113645,0.0,21.6,0.0,0.3,0.5812626771139607,15.627975821785496,0.01608344133210466,0.0,8.42852300228219,0.0
85,14.9,12.189300749932404,157.6852996137295,0.12939877747923825,0.0,20.8,0.0,0.3,0.6418998794056603,15.076726425427822,0.0140864449689162,0.0,6.881860213634101,0.0
86,14.9,12.113967416599072,159.84529961372945,0.12368164412334777,0.0,9.6,0.0,0.3,0.574929072278462,15.901904192482549,0.01769447615681153,0.0,5.4258639865002145,0.0
87,14.9,11.867967416599072,160.83529961372946,0.12189170274917456,0.0,4.4,0.0,0.3,0.5615118730287662,16.184726141489723,0.018926828481061544,0.0,6.3118935352238,0.0
88,14.9,11.778634083265738,163.0052996137295,0.13848010808008632,0.0,9.2,0.0,0.3,0.6135281073440427,16.035736569260813,0.019361478868667792,0.0,4.019950248448356,0.0
89,14.9,12.010967416599073,167.1952996137295,0.14063562420887343,0.0,18.4,0.0,0.3,0.5753880956423187,15.56428588522743,0.01899292078356599,0.0,7.8383671769061705,0.0
