timestep,AgentsAlive,AvgEnergy,CommunityPool,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable,AgentsAlive_std,AvgEnergy_std,CommunityPool_std,GiniEnergy_std,TotalScar_std,MinedRenewable_std,MinedNonrenewable_std
0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,11.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
2,15.0,11.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0
3,15.0,10.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,10.119333333333334,11.309999999999993,0.02122709916963663,2.4450000000000003,3.2,14.5,0.0,0.09378225371098277,5.361613563098331,0.006494728330835309,1.1009291530339271,3.4871191548325395,6.87386354243376
5,15.0,9.499333333333333,20.40999999999999,0.033088856486745956,4.974,4.0,13.0,0.0,0.13503744336705736,4.7555125906677995,0.008273103598208391,1.469225646386558,4.0,7.14142842854285
6,15.0,8.904,24.439999999999984,0.042810285371247335,5.521,5.6,6.5,0.0,0.17779388815891992,5.975985274412909,0.007734685769140239,2.029056184535066,3.2,4.5
7,15.0,8.428666666666667,26.869999999999976,0.04932443859381497,5.669,2.8,4.5,0.0,0.2129590466628634,5.677332119930974,0.006680986155747374,1.8013020290889588,2.5612496949731396,5.220153254455275
8,15.0,7.908666666666663,26.869999999999976,0.05944731394943601,5.507,3.6,0.0,0.0,0.2635830040044315,5.677332119930974,0.011631410842543995,1.7503831009239093,4.17612260356422,0.0
9,15.0,7.408666666666664,26.869999999999976,0.07523245964895046,5.345,10.0,0.0,0.0,0.2565766075766764,5.677332119930974,0.01018051347021972,1.6994660926302705,6.260990336999411,0.0
10,15.0,8.399333333333328,4.669999999999997,0.21028340356341993,5.182999999999999,11.559999999999999,0.0,0.0,0.6929643248793945,9.568704196493895,0.06920605694328331,1.6485511820989966,5.167436501786936,0.0
11,15.0,7.905999999999997,4.669999999999997,0.239210326488854,5.020999999999999,14.8,0.0,0.0,0.7374336881675827,9.568704196493895,0.06340338725811266,1.5976385698899482,7.166589146867567,0.0
12,15.0,7.4107999999999965,4.669999999999997,0.2580983001129987,4.859,6.772,0.0,0.0,0.6231625291830194,9.568704196493895,0.07099623347980427,1.5467284829600827,4.719730500780739,0.0
13,15.0,6.644133333333331,10.169999999999979,0.24747652269644932,5.067999999999999,4.8,1.5,0.0,0.7083646142112583,12.67509763276004,0.07987368383246435,1.7427782417737485,4.308131845707603,2.29128784747792
14,15.0,6.176466666666665,16.164999999999946,0.2363942879758238,5.065999999999999,7.9799999999999995,2.5,0.0,0.7449924115944604,11.187851670450359,0.07967958218087412,1.740524059012112,6.657597164142631,2.5
15,15.0,7.312964462171484,0.8175330674276534,0.1801665160512867,6.142999999999999,13.6,5.0,0.0,0.3689405656402722,0.570345038346175,0.10413008806962855,1.8817494519728177,3.2,5.477225575051661
16,15.0,7.1966436208775395,4.042345686836826,0.1732454003970185,6.234999999999998,10.379999999999999,2.0,0.0,0.7945924064165515,8.81489087494755,0.06018347459764411,2.1345690431560183,5.405515701577418,3.3166247903554
17,15.0,6.731317047941992,7.902244280870032,0.16492986271749616,6.1629999999999985,4.38,1.0,0.0,0.8179961322322852,10.675144910499503,0.031520696199362666,2.199368318404173,4.159278783635451,2.0
18,15.0,6.584983714608659,9.297244280870032,0.1653965636591791,6.840999999999997,3.2,5.5,0.0,0.6509658752016523,10.507503443980443,0.03315806636527999,2.0094101124459383,4.308131845707604,5.678908345800274
19,15.0,6.656445285733925,10.32132071399105,0.16295754405375076,6.543999999999997,7.996,6.0,0.0,0.6194897249194378,10.22433189749791,0.05158642120875322,1.7798887605690417,4.732879039231828,3.7416573867739413
20,15.0,7.296107701119894,2.1183844832015035,0.12361043348209591,6.7049999999999965,8.392,3.5,0.0,0.43932369957082745,1.8756686498117492,0.03690892258053914,1.7478057672407423,6.7958057653231965,4.5
21,15.0,7.268780654821978,3.228290177670226,0.1331856428415528,6.544999999999997,6.8,3.5,0.0,0.45338360026957514,2.080665853037975,0.03948405200997469,1.455453537561402,3.6,3.2015621187164243
22,15.0,6.924946116657336,3.7858082501398433,0.1488209291300883,6.606999999999997,5.6,2.0,0.0,0.5168309553201564,2.1907855757285843,0.03905576736353237,1.4201482316997758,4.454211490264017,3.3166247903554
23,15.0,6.821746721208143,4.433799181877761,0.1553944743702288,6.578999999999998,4.0,3.5,0.0,0.5154336179316674,2.1167993457456604,0.03604535789465205,1.7082356394830311,3.0983866769659336,3.2015621187164243
24,15.0,6.674939290210264,5.1014106468459115,0.16610315387921087,6.626999999999997,3.9655,2.5,0.0,0.5969508551925502,2.402242333079927,0.044200421495106,1.4470456108913776,3.96670042352583,2.5
25,15.0,6.892791158371443,1.2336326244282205,0.1529745141468586,6.665999999999997,4.0,6.5,0.0,0.7565329979169355,0.8962116230558791,0.04594579517703059,1.6932170563752307,3.0983866769659336,3.905124837953327
26,15.0,6.773863240286454,2.417551395703052,0.15877915919816452,6.315999999999997,6.8,3.0,0.0,0.7639793003999098,1.6816081866672459,0.04445216990962584,1.5534040041148345,4.3999999999999995,2.449489742783178
27,15.0,6.663931481756269,2.7665277736558056,0.16528128782505463,6.562999999999997,4.8,3.5,0.0,0.7242966327900452,2.0871605532497868,0.04363427891646531,1.3788912212353805,3.919183588453085,2.29128784747792
28,15.0,6.465760939120611,3.439085913190702,0.17758142683433498,6.555999999999996,2.8,3.5,0.0,0.8065282705182528,2.3818652948792396,0.05046607106749096,1.2741287219115658,4.019950248448356,3.2015621187164243
29,14.9,6.3658597188032084,3.984585913190698,0.19031727563429612,6.690999999999997,2.8,5.5,0.3,0.8251122280457438,2.803914469977152,0.056481434162570066,1.13292056208721,2.5612496949731396,3.5
30,14.9,6.559803099865633,0.6091893500782428,0.176337460643395,6.963999999999996,3.6,5.5,0.3,0.9742796288141926,0.7471050245073483,0.0615357963352022,1.1123956130801667,4.882622246293482,5.678908345800274
31,14.9,6.583022916116695,1.620892106312303,0.19180018567897425,6.8619999999999965,7.2,4.0,0.3,0.9199353616017133,0.9306770185495681,0.06954140262818446,1.0060993986679445,6.4,4.358898943540674
32,14.8,6.363969478233864,2.338389451532481,0.19839989059649327,6.697999999999996,4.8,2.0,0.4,0.9457851679973567,1.8247228251731848,0.07815139960282545,0.7006111617723483,3.919183588453085,3.3166247903554
33,14.8,6.156335489326546,3.00718499942798,0.21557175438393328,6.3429999999999955,4.4,2.0,0.4,1.038982538872728,1.8835408222003074,0.08765648984559986,0.9604275089771215,4.17612260356422,3.3166247903554
34,14.8,6.007002155993211,3.5631849994279783,0.2277807544458348,6.242999999999997,3.5760000000000005,3.5,0.4,1.1858838872808126,2.1992813388506725,0.10386696797600163,0.8007003184712737,3.7717348793360332,3.905124837953327
35,14.4,6.2124699537217785,0.666841162168392,0.20134923998091891,5.940999999999995,3.6,3.5,1.2,1.1632281303204397,0.7962048539395364,0.08150921271354773,0.8604004881449098,3.32264954516723,3.2015621187164243
36,14.3,6.411362486385511,1.4645053225693898,0.20397703822192143,6.005999999999995,8.788,4.5,1.268857754044952,1.096955301781048,0.9645339718607098,0.0829675492070902,0.8545431528015418,10.544595582572144,5.220153254455275
37,14.2,6.331418233860555,2.0956310345163986,0.20677373041876773,5.7869999999999955,4.4,3.5,1.4,1.1733970566043872,1.5196022142478338,0.08697346312539542,0.851939551846256,4.5431266766402185,3.2015621187164243
38,14.2,6.084275376717697,2.195631034516398,0.2190665429175081,5.529999999999996,4.0,1.5,1.4,1.0919922205840025,1.560789762473997,0.09086298925585354,1.0040119521200932,3.0983866769659336,2.29128784747792
39,14.0,5.965561681273273,2.595631034516396,0.22886607933398517,5.261999999999995,3.6,3.0,1.4142135623730951,1.0777421278525556,1.5619505620126326,0.09664622120385181,0.5477554198727751,3.773592452822642,3.3166247903554
40,14.0,6.101350666451461,1.232951249449513,0.22771654167998082,5.163999999999995,4.4,5.0,1.4142135623730951,1.3814570899327128,1.4610004306853297,0.10622966591291677,0.658698717168935,4.543126676640219,5.916079783099616
41,13.6,6.185854073538254,1.8129512494495117,0.21361323185043105,4.8509999999999955,7.1915000000000004,1.0,1.624807680927192,1.1799791751725444,1.8726765155796756,0.07760174553123876,0.7191724410737665,4.981069187433557,2.0
42,13.4,6.137167922262233,2.1329512494495106,0.20581163356684237,4.422999999999996,3.5799999999999996,2.0,1.8,1.0441654527847077,2.356771888635065,0.0657525141828715,1.066049248393338,3.2966043135323355,2.449489742783178
43,13.2,6.162086301658402,2.2129512494495103,0.19970845199554227,4.425999999999997,6.0,1.5,1.8867962264113207,0.9246724683092324,2.33433323336298,0.07275471630918513,1.1637284906712562,4.47213595499958,2.29128784747792
44,13.1,6.071468381895247,2.8729512494495086,0.20938473988903028,4.314999999999996,4.4,3.5,1.8138357147217052,0.8802908648150899,2.9457508922916027,0.07292611727272336,1.0653849069702463,2.8,3.2015621187164243
45,13.1,6.026654018417744,0.5599999999999988,0.20166447606362778,4.170999999999997,4.4,1.5,1.8138357147217052,1.1626987936598916,1.022936948203552,0.08992786947402857,0.9542059526119088,3.3226495451672293,3.2015621187164243
46,13.0,5.966487924244175,1.3847659425455743,0.21969886102092206,4.175999999999997,5.6,2.5,1.7888543819998317,1.0752212418620448,1.0277155345912643,0.08993215379898063,1.1324151182318258,3.6660605559646724,3.3541019662496847
47,12.7,5.912815856404257,1.8488810310765955,0.22166557912275708,3.896999999999997,4.8,1.5,1.7349351572897471,0.9029486742184178,1.1653464767112534,0.07303412425667682,1.1569273961662416,4.308131845707603,2.29128784747792
48,12.4,5.980806126897756,2.3234126945039835,0.213513943360958,3.826999999999996,6.7345,0.5,2.009975124224178,0.8558535997420184,1.4078575324381941,0.05937857611482941,1.0978893386858257,3.509617108745625,1.5
49,12.0,6.099954905378082,2.6485640274813074,0.2020765347889067,3.6779999999999964,3.2,4.0,2.280350850198276,0.9173069221675971,1.8682314276290655,0.05487534574234705,1.2231745582704048,2.9933259094191533,3.7416573867739413
50,11.9,6.265425168537169,0.49999999999999895,0.1671004502281307,3.6029999999999958,4.8,1.5,2.3,0.8074815756098201,0.5310367218940691,0.04529122653253642,1.425749276696292,2.9933259094191533,2.29128784747792
51,11.9,6.213828272163551,0.8705443546951823,0.18342471931689924,3.822999999999996,4.0,2.5,2.3,0.8453322491188731,0.4566955352706713,0.05661767051162348,1.5861591975586813,3.0983866769659336,3.3541019662496847
52,11.9,6.11232827216355,0.9505443546951813,0.189672993596754,3.8399999999999963,3.6,1.5,2.3,0.8323168057541078,0.528094418816308,0.05592950819232994,1.4653941449316628,2.8000000000000003,2.29128784747792
53,11.8,6.172292395220534,1.3212811968004403,0.19270861924695476,3.735999999999996,7.528499999999999,1.0,2.315167380558045,0.8688586248699949,0.7604513908853592,0.04755463272886394,1.4940428374046035,5.763159745313329,2.0
54,11.8,5.9750802740084135,1.6612811968004397,0.1980471498429807,3.5529999999999964,2.8,2.0,2.315167380558045,0.9019783321600511,1.2406298692584394,0.05319977926649316,1.3413653491871622,4.019950248448356,3.3166247903554
55,11.8,5.99963168172283,0.3635100810841694,0.19608948383990235,3.579999999999997,3.6,2.5,2.315167380558045,0.9802450604019823,0.5244080375153438,0.05559637867414733,1.2269637321453304,3.32264954516723,3.3541019662496847
56,11.7,5.895595534935249,0.6673790055545437,0.20914047524369606,3.7499999999999973,4.4,3.0,2.4103941586387903,0.9933917598603587,0.6579204917812435,0.05372640327626015,1.397984263144617,4.882622246293482,2.449489742783178
57,11.5,6.014416703780795,0.9273790055545422,0.20898930059674609,3.7089999999999974,5.2,1.0,2.5,0.8460758229453162,0.8215129373114182,0.056254828689288064,1.5253029207341071,4.749736834815167,2.0
58,11.5,6.034034345767369,1.5025764370606005,0.22602497879600986,4.029999999999997,4.8,4.0,2.5,0.8008107510737933,1.0689637828003946,0.06564112755685379,1.9823521382438583,2.9933259094191533,4.898979485566356
59,11.4,5.914424002281839,2.0625764370605983,0.23356844080794414,3.8499999999999965,3.2,1.5,2.6532998322843198,0.9257521359442762,1.6229561771132577,0.07921673055605023,1.8034134301374152,3.9191835884530852,2.29128784747792
60,11.4,6.001894975095583,0.2599999999999989,0.22443560258775705,3.586999999999997,6.4,1.0,2.6532998322843198,0.9800920691939449,0.42941821107167644,0.0891699531001714,1.5516961687134496,4.8,2.0
61,11.0,5.918192737987601,0.6102422124345963,0.2152033194687597,3.538999999999997,4.0,1.0,2.898275349237888,0.7143743662189724,0.6461620818982129,0.05673128881631814,1.3680968532965776,3.5777087639996634,2.0
62,10.8,5.910799300638192,0.8745065735581201,0.19918758764712136,3.292999999999997,3.2,1.5,3.026549190084311,0.7101621078131201,1.0295568754385709,0.046489369749366925,1.4366979501621058,3.4871191548325386,3.2015621187164243
63,10.6,5.995086965121904,1.539594967809268,0.20142099352088608,3.198999999999997,6.0,1.0,2.8,0.7180013761397682,1.321656615140068,0.02983141027350399,1.5333196013877857,4.47213595499958,2.0
64,10.6,6.001835882870821,1.7795949678092673,0.21652296712477082,3.329999999999997,4.0,2.0,2.8,0.4768526772121329,1.2190859788362152,0.03500423279298623,1.2260750384866328,5.656854249492381,2.449489742783178
65,10.6,6.098835636723619,0.39999999999999813,0.20802324427974286,3.390999999999997,4.8,2.5,2.8,0.6152745960076175,0.5291502622129156,0.04835857068520386,1.264906715928095,4.995998398718719,3.3541019662496847
66,10.6,5.906769203157186,0.7999999999999974,0.21895026942058188,3.2159999999999975,4.0,0.5,2.8,0.6981212110600348,0.8944271909999137,0.05889851717136071,1.2193129212798488,3.5777087639996634,1.5
67,10.5,5.940089417605352,1.2471407213680281,0.2231281281207572,3.1319999999999975,4.0,1.5,2.7294688127912363,0.6901283806488282,1.5421639701720817,0.057894509035728604,1.1007615545612042,3.5777087639996634,3.2015621187164243
68,10.5,5.841539011340286,1.6285813346548081,0.24106120951102109,3.1179999999999977,3.2,2.0,2.7294688127912363,0.7692257953015157,1.606271945906126,0.07098449367875947,1.0092749873052433,2.4,3.3166247903554
69,10.4,5.85071830387714,1.9134093117348503,0.2410393314295872,2.9769999999999976,4.0,1.0,2.764054992217051,0.5837849484626983,1.534335111466707,0.07613613300041765,1.3763869368749466,5.932958789676531,2.0
70,10.4,6.110454368984511,0.6498275560137121,0.2280145354662168,3.3459999999999974,4.8,3.5,2.764054992217051,0.5631814623887504,0.6569705703366582,0.07127233165976857,1.2779843504519133,3.9191835884530852,3.2015621187164243
71,10.3,6.083369088287827,0.9988030215805985,0.22636450475641592,3.284999999999998,4.4,1.0,2.8653097563788803,0.3907716214472276,0.9298267977286331,0.05879730232075941,1.2463807604420083,3.7735924528226414,2.0
72,10.1,6.074979209872378,1.1894923607419545,0.21972532734551642,3.270999999999998,2.0,1.0,3.1128764832546763,0.6343497238085336,0.951742912486941,0.05113119856317381,1.289072922685136,2.6832815729997477,2.0
73,10.0,5.994365463440166,1.5894923607419533,0.2324804805798803,3.493999999999997,2.4,3.0,2.9664793948382653,0.6386063036665559,1.2883242494311034,0.048998168261991486,1.3929120575255276,1.9595917942265424,2.449489742783178
74,9.7,5.993648157501652,1.8594573266691818,0.2178529214450143,3.324999999999997,3.2,0.5,2.9342801502242417,0.6496774459713809,1.2327638851641167,0.053330477556986555,1.347599718017186,3.9191835884530852,1.5
75,9.7,6.209109299848132,0.6354398293786488,0.20472999687384244,3.1609999999999974,4.0,2.0,2.9342801502242417,0.870170922264792,0.5840615565212531,0.06477565023925333,1.3011491075199642,4.0,2.449489742783178
76,9.7,6.190800941539774,1.0554398293786478,0.20795603874506413,3.0769999999999973,5.2,1.0,2.9342801502242417,0.870112037655906,0.9906998740195438,0.08004840302777888,1.1849476781697996,5.075431016179809,2.0
