timestep,AgentsAlive,AvgEnergy,GiniEnergy,TotalScar,MinedRenewable,MinedNonrenewable,AgentsAlive_std,AvgEnergy_std,GiniEnergy_std,TotalScar_std,MinedRenewable_std,MinedNonrenewable_std
0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,15.0,9.599999999999998,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0
2,15.0,9.200000000000001,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0
3,15.0,8.799999999999999,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,15.0,7.976000000000001,0.03246962465953627,0.0,21.2,0.0,0.0,0.13879481258317952,0.006406722149315132,0.0,6.939740629158989,0.0
5,15.0,7.123333333333332,0.03141938839800871,0.073,22.8,0.5,0.0,0.1285560837403921,0.009263065726037844,0.219,9.303762679690406,1.5
6,15.0,6.523333333333332,0.01585447275054728,0.071,10.0,0.0,0.0,0.09712534856222316,0.010558139206252167,0.213,5.138093031466052,0.0
7,15.0,6.059333333333331,0.008263722779076365,0.06899999999999999,3.2,0.0,0.0,0.08826475325217124,0.011791295987137662,0.207,2.4000000000000004,0.0
8,15.0,5.47533333333333,0.024615858766181886,0.06699999999999999,9.2,0.0,0.0,0.11139718727747712,0.018158924785045008,0.201,6.9397406291589885,0.0
9,15.0,5.715333333333331,0.13559158889120482,0.06499999999999999,18.0,0.0,0.0,0.37326249327904487,0.02376132984999967,0.19499999999999998,5.440588203494177,0.0
10,15.0,6.23533333333333,0.17622953341872166,0.13599999999999998,20.0,0.5,0.0,0.6761725618015962,0.030922667319864136,0.408,7.37563556583431,1.5
11,15.0,6.417999999999997,0.16517987592404926,0.13199999999999998,9.2,0.0,0.0,0.6887931474688173,0.04792035422832842,0.39599999999999996,4.749736834815167,0.0
12,15.0,6.676666666666662,0.11916876751630083,0.12799999999999997,10.4,0.0,0.0,0.6662081756728396,0.0642623661637729,0.38399999999999995,6.499230723708768,0.0
13,15.0,6.656666666666662,0.08570134729754633,0.12399999999999997,6.0,0.0,0.0,0.48241291672406744,0.05476808786382512,0.37199999999999994,5.138093031466052,0.0
14,15.0,7.185999999999995,0.14112963372629617,0.11999999999999997,15.2,0.0,0.0,0.5459381324330111,0.0478799277141288,0.35999999999999993,4.66476151587624,0.0
15,15.0,8.043999999999993,0.1367652878607905,0.11599999999999996,19.6,0.0,0.0,0.754978734064006,0.023644160209516468,0.3479999999999999,7.683749084919419,0.0
16,15.0,8.623999999999993,0.1059174208358156,0.11199999999999996,16.0,0.0,0.0,0.6801254786189577,0.04461608787863179,0.3359999999999999,7.58946638440411,0.0
17,15.0,8.579999999999995,0.08615501091481156,0.10799999999999996,7.2,0.0,0.0,0.563489130329947,0.04429489713185715,0.32399999999999984,5.30659966456864,0.0
18,15.0,8.37466666666666,0.07483585126018791,0.10399999999999995,3.6,0.0,0.0,0.4250155552708886,0.03847444102218327,0.3119999999999999,3.7735924528226414,0.0
19,15.0,8.810399999999992,0.12974727229460453,0.09999999999999995,14.780000000000001,0.0,0.0,0.6069282366511254,0.03448932653340086,0.2999999999999999,5.667062731256819,0.0
20,15.0,9.898399999999992,0.1291995496946841,0.09599999999999995,25.6,0.0,0.0,0.7499475063110898,0.03575850623909258,0.2879999999999998,5.4258639865002145,0.0
21,15.0,10.250399999999992,0.10546389340758959,0.09199999999999994,12.4,0.0,0.0,0.7517535766459638,0.04733390952052284,0.27599999999999986,6.560487786742691,0.0
22,15.0,10.113066666666658,0.09143049805814796,0.08799999999999994,5.2,0.0,0.0,0.6672575514746906,0.045072716690503424,0.2639999999999998,5.075431016179809,0.0
23,15.0,9.907733333333322,0.08129899682593622,0.08399999999999994,3.6,0.0,0.0,0.5017476302330128,0.03605627415872633,0.25199999999999984,4.5431266766402185,0.0
24,15.0,10.799733333333323,0.12803486188164617,0.07999999999999993,20.4,0.0,0.0,0.7633381193445301,0.03576176872578942,0.2399999999999998,6.8,0.0
25,15.0,11.763066666666656,0.11481986774872285,0.07599999999999993,22.0,0.5,0.0,0.8062683424270108,0.041396454299350446,0.2279999999999998,7.211102550927978,1.5
26,15.0,11.963066666666657,0.09683909670599403,0.07199999999999993,10.0,0.0,0.0,0.7936051187110902,0.04444260415652397,0.21599999999999978,4.8166378315169185,0.0
27,15.0,11.859066666666656,0.08198065579864393,0.06799999999999992,5.2,0.0,0.0,0.6630440374179946,0.03903593163495739,0.2039999999999998,2.5612496949731396,0.0
28,15.0,12.067066666666655,0.08588912168329221,0.06399999999999992,9.6,0.0,0.0,0.5580869068125103,0.037602874405277466,0.19199999999999975,6.248199740725323,0.0
29,15.0,12.705733333333322,0.11701866032191018,0.05999999999999992,16.4,0.0,0.0,0.7168008060511335,0.0297000928670887,0.17999999999999977,4.882622246293481,0.0
30,15.0,13.589066666666657,0.09879327433499108,0.05599999999999992,20.0,0.0,0.0,0.7202680488694624,0.03032872451840392,0.16799999999999976,7.155417527999327,0.0
31,14.9,13.84811428571427,0.0796206140705071,0.05199999999999992,10.0,0.0,0.3,0.8249243178919098,0.04097804312968305,0.15599999999999978,4.8166378315169185,0.0
32,14.9,14.13135238095237,0.08041899856780924,0.04799999999999992,11.2,0.0,0.3,0.7645204016474297,0.04466871998452979,0.14399999999999974,6.881860213634101,0.0
33,14.9,13.972114285714273,0.08234422838473876,0.043999999999999914,9.6,0.0,0.3,0.5938890202257244,0.032473342296265216,0.13199999999999976,3.6660605559646724,0.0
34,14.9,13.62811428571427,0.09213418666080456,0.039999999999999925,15.6,0.0,0.3,0.5653185673851382,0.03052433643276324,0.11999999999999977,6.3118935352238,0.0
35,14.9,13.507542857142843,0.08310061833217022,0.03599999999999992,16.0,0.0,0.3,0.4466348832229346,0.027916334303975426,0.10799999999999976,7.58946638440411,0.0
36,14.9,13.722399999999988,0.10278068896644739,0.031999999999999924,14.8,0.0,0.3,0.7604456704970962,0.03549619726609386,0.09599999999999978,8.588364221433554,0.0
37,14.9,13.586399999999989,0.10856639540704602,0.027999999999999924,6.8,0.0,0.3,0.8062779890059979,0.0329244218920705,0.08399999999999978,3.5999999999999996,0.0
38,14.9,13.540114285714273,0.11772036624808928,0.023999999999999928,10.8,0.0,0.3,0.8736918875532831,0.02446173050658581,0.07199999999999977,5.075431016179809,0.0
39,14.9,13.898304761904749,0.12687736798807012,0.019999999999999928,14.0,0.0,0.3,0.647974493213179,0.02084552356360967,0.05999999999999977,6.260990336999411,0.0
40,14.9,14.624685714285704,0.12728099798432532,0.015999999999999927,20.8,0.0,0.3,0.9710249290255722,0.03439005666303723,0.047999999999999786,4.308131845707604,0.0
41,14.9,14.89630476190475,0.12666599907095835,0.011999999999999927,11.6,0.0,0.3,1.1207458844473497,0.04305397640844083,0.03599999999999978,5.499090833947007,0.0
42,14.9,14.982019047619037,0.12329650417084374,0.008999999999999963,9.2,0.0,0.3,1.0350462561990443,0.035449442131411345,0.026999999999999892,4.4,0.0
43,14.9,14.9126857142857,0.12003996405164785,0.006999999999999963,6.8,0.0,0.3,0.8119494648215732,0.03307676834780029,0.02099999999999989,5.67097875150313,0.0
44,14.9,15.75249523809523,0.13562268738877187,0.004999999999999963,20.4,0.0,0.3,1.0178470763523408,0.032132854961340204,0.014999999999999888,6.053098380168622,0.0
45,14.9,16.21830476190475,0.1275820271037511,0.0029999999999999628,16.8,0.0,0.3,0.9241960681729323,0.04151991910724939,0.008999999999999888,6.881860213634101,0.0
46,14.9,16.61087619047618,0.12259308775512538,0.0009999999999999627,12.4,0.0,0.3,1.0240285159365685,0.037119656462519336,0.0029999999999998877,5.782732917920384,0.0
47,14.9,16.54201904761904,0.11637290785290903,0.0,5.2,0.0,0.3,0.8625162837728033,0.03395923427373405,0.0,4.749736834815167,0.0
48,14.9,17.286209523809514,0.1237405169645442,0.0,20.0,0.0,0.3,1.0638288925209571,0.031407701438401096,0.0,5.932958789676531,0.0
49,14.9,17.412495238095225,0.1352444682348554,0.0,15.2,0.0,0.3,1.1641337283601387,0.030703217350777214,0.0,6.4,0.0
50,14.9,17.6219238095238,0.13238742425444402,0.0,12.8,0.0,0.3,1.238142300790507,0.026975785338982764,0.0,6.881860213634101,0.0
51,14.9,17.721828571428567,0.13234724255946045,0.0,8.4,0.0,0.3,1.1003637483921025,0.026531295649898878,0.0,4.5431266766402185,0.0
52,14.9,18.260399999999997,0.14551616846356397,0.0,16.8,0.0,0.3,1.2985809759545686,0.027940555765959513,0.0,5.6,0.0
53,14.9,18.47906666666666,0.14767675077119263,0.0,12.4,0.0,0.3,1.3952761001162342,0.028981566382987056,0.0,5.782732917920384,0.0
54,14.9,18.932971428571424,0.141758266228888,0.0,16.0,0.0,0.3,1.3352860597322216,0.025312296109330838,0.0,6.928203230275509,0.0
55,14.9,19.050209523809517,0.137892925143763,0.0,9.2,0.0,0.3,1.2638567133688243,0.022556351956610782,0.0,3.6,0.0
56,14.9,19.851923809523807,0.15181886636235947,0.0,20.4,0.0,0.3,1.498502143631144,0.026687143643170177,0.0,6.560487786742691,0.0
57,14.9,20.043923809523807,0.15223536706351679,0.0,10.4,0.0,0.3,1.5613494859653534,0.028406702334172227,0.0,6.740919818541086,0.0
58,14.9,20.42030476190476,0.14567420497691771,0.0,14.0,0.0,0.3,1.4321002262902556,0.025241056846053343,0.0,6.985699678629192,0.0
59,14.9,20.438590476190477,0.14652383274838918,0.0,7.6,0.0,0.3,1.4600323028141469,0.026382250201780113,0.0,3.7735924528226414,0.0
60,14.9,21.226209523809523,0.15301996304218007,0.0,20.8,0.0,0.3,1.6631294583110647,0.0281913340891207,0.0,4.995998398718719,0.0
61,14.9,21.741828571428574,0.1528001770463002,0.0,14.4,0.0,0.3,1.7497204487051057,0.029357750629415928,0.0,5.986651818838307,0.0
62,14.9,22.054780952380955,0.14900048437803312,0.0,11.2,0.0,0.3,1.5101995043529375,0.02655255059971311,0.0,6.64529909033446,0.0
63,14.9,22.16506666666667,0.14093001068799946,0.0,8.0,0.0,0.3,1.505187450858608,0.022586893220355425,0.0,4.381780460041329,0.0
64,14.9,23.053733333333334,0.14746293116753167,0.0,21.2,0.0,0.3,1.7149159020520872,0.025614699776217005,0.0,5.670978751503131,0.0
65,14.9,23.528019047619054,0.14404951150238485,0.0,14.8,0.0,0.3,1.8258160558862406,0.026765939643660957,0.0,6.20966987850401,0.0
66,14.9,23.921447619047623,0.14407349716145895,0.0,13.6,0.0,0.3,1.660197598708475,0.026297992717406467,0.0,4.454211490264018,0.0
67,14.9,23.85259047619049,0.14350875714428024,0.0,5.2,0.0,0.3,1.7172970682147233,0.025555505877452495,0.0,4.019950248448356,0.0
68,14.9,24.625257142857155,0.14936614982631802,0.0,20.0,0.0,0.3,1.7908212113371544,0.022455866576771597,0.0,6.928203230275509,0.0
69,14.9,25.107542857142867,0.14850880875274147,0.0,14.4,0.0,0.3,1.918213401949719,0.027010941758625253,0.0,5.4258639865002145,0.0
70,14.9,25.608971428571444,0.14327510521949097,0.0,15.2,0.0,0.3,1.757403152123322,0.027907612589570772,0.0,7.547184905645283,0.0
71,14.9,25.737923809523824,0.1416830581844747,0.0,8.4,0.0,0.3,1.8051358656662817,0.027532546552794343,0.0,4.5431266766402185,0.0
72,14.9,26.425257142857156,0.14741944108222277,0.0,17.6,0.0,0.3,1.8438578195170365,0.02802591926041164,0.0,4.8,0.0
73,14.9,26.837733333333347,0.14666254229747333,0.0,12.8,0.0,0.3,1.9038328638127218,0.026585759241656296,0.0,4.995998398718719,0.0
74,14.9,27.275161904761923,0.14559445083714395,0.0,14.4,0.0,0.3,1.7363017433196608,0.026394204852998107,0.0,4.454211490264017,0.0
75,14.9,27.402780952380972,0.14138292224633892,0.0,8.8,0.0,0.3,1.7460455502600107,0.025221897573636312,0.0,4.995998398718719,0.0
76,14.9,28.327923809523828,0.14549884994745615,0.0,20.8,0.0,0.3,1.8990503227759372,0.029479145859974385,0.0,5.30659966456864,0.0
77,14.9,28.62306666666668,0.14513259961591718,0.0,12.0,0.0,0.3,1.9021604605757623,0.02638298358170529,0.0,5.059644256269407,0.0
78,14.9,28.980019047619074,0.14335910318140077,0.0,12.0,0.0,0.3,1.655934207178358,0.02395056966546737,0.0,5.932958789676531,0.0
79,14.9,29.050304761904776,0.1414329971546338,0.0,8.0,0.0,0.3,1.8135380165592576,0.026033397116502287,0.0,4.732863826479693,0.0
80,14.9,30.050114285714308,0.1422618014256872,0.0,22.4,0.0,0.3,1.8323402479391508,0.02929075435613954,0.0,4.8,0.0
81,14.9,30.544400000000024,0.13955019632328075,0.0,14.8,0.0,0.3,1.8151941481713672,0.026797541610016247,0.0,5.075431016179809,0.0
